ID,英文名稱,中文名稱,圖片,所屬機關單位名稱,機關單位中文名稱,機關單位英文名稱,職等,單位中文名稱,單位英文名稱,單位中文名稱2,單位英文名稱2,更新日期
1472419,Civil Affairs Bureau,民政局,,,,,,,,,,2012-12-19
1472420,Finance Bureau,財政局,,,,,,,,,,2012-12-19
1472428,Education Bureau,教育局,,,,,,,,,,2012-12-19
1472432,Economic Affairs Bureau,建設局,,,,,,,,,,2012-12-19
1472436,Public Works Bureau,工務局,,,,,,,,,,2012-12-19
1472441,Social Affairs Bureau,社會局,,,,,,,,,,2012-12-19
1472444,Labor Affairs Bureau,勞工局,,,,,,,,,,2012-12-19
1472447,Police Bureau,警察局,,,,,,,,,,2012-12-19
1472448,Fire Bureau,消防局,,,,,,,,,,2012-12-19
1472449,Public Health Bureau,衛生局,,,,,,,,,,2012-12-19
1472454,Environmental Protection Bureau,環境保護局,,,,,,,,,,2012-12-19
1472457,Cultural Affairs Bureau,文化局,,,,,,,,,,2012-12-19
1472461,Transportation Bureau,交通局,,,,,,,,,,2012-12-19
1472463,Land Administration Office,地政處,,,,,,,,,,2012-12-19
1472464,Information Office,新聞處,,,,,,,,,,2012-12-19
1472466,Accounting and Statistics Office,主計處,,,,,,,,,,2012-12-19
1472467,Personnel Office,人事處,,,,,,,,,,2012-12-19
1472468,"Public Health Bureau, ____ City",___市衛生局,,,,,,,,,,2012-12-19
1472471,____ County (City) Police Bureau,1.___縣(市)警察局 2.___縣(市)政府警察局,,,,,,,,,,2012-12-19
1472475,____ City Police Bureau,1.___縣(市)警察局 2.___縣(市)政府警察局,,,,,,,,,,2012-12-19
1472481,"Fire Bureau, ____ County (City)",1.___縣(市)消防局 2.___縣政府消防局,,,,,,,,,,2012-12-19
1472485,"Public Health Bureau, ____ County (City)",1.___縣(市)衛生局 2.___縣政府衛生局,,,,,,,,,,2012-12-19
1472487,"Local Tax Bureau, ___ County (City)",1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,,,,,,,,,,2012-12-19
1472491,___ County Government,縣(市)政府,,,,,,,,,,2012-12-19
1472503,___ County (City) Government,縣(市)政府,,,,,,,,,,2012-12-19
1472509,Yilan County Government,宜蘭縣政府,,,,,,,,,,2012-12-19
1472512,Miaoli County Government,苗栗縣政府,,,,,,,,,,2012-12-19
1472513,"Marine Life Propagation Station, Penghu County",澎湖縣政府,,,,,,,,,,2012-12-19
1472515,Kinmen County Government,連江縣政府,,,,,,,,,,2012-12-19
1472521,Kinmen County Government,金門縣政府,,,,,,,,,,2012-12-19
1472524,__ County (Municipal) Library,___縣(市)立圖書館,,,,,,,,,,2012-12-19
1472600,Seventh Directorate,第七組 ,,,,,,,,,,2012-12-19
1472604,Department of Civil Affairs,民政司 ,,,,,,,,,,2012-12-19
1472611,Department of Household Registration Affairs,戶政司 ,,,,,,,,,,2012-12-19
1472618,Department of Land Administration,地政司 ,,,,,,,,,,2012-12-19
1472620,Department of Social Affairs,社會司 ,,,,,,,,,,2012-12-19
1472625,Department of General Affairs,總務司,,,,,,,,,,2012-12-19
1472640,Domestic Violence and Sexual Assault Prevention Committee,家庭暴力及性侵害防治委員會 ,,,,,,,,,,2012-12-19
1472641,Department of Household Registration Affairs,中部辦公室戶政司 ,,,,,,,,,,2012-12-19
1472645,Department of Civil Affairs,中部辦公室民政司 ,,,,,,,,,,2012-12-19
1472652,Department of Land Administration,中部辦公室地政司 ,,,,,,,,,,2012-12-19
1472659,Department of Social Affairs,中部辦公室社會司 ,,,,,,,,,,2012-12-19
1472663,First Department,第一處,,,,,,,,,,2012-12-19
1472668,Second Department,第二處,,,,,,,,,,2012-12-19
1472671,Third Department,第三處,,,,,,,,,,2012-12-19
1472673,Fourth Department,第四處,,,,,,,,,,2012-12-19
1472676,Fifth Department,第五處,,,,,,,,,,2012-12-19
1472679,Sixth Department,第六處,,,,,,,,,,2012-12-19
1472681,Seventh Department,第七處,,,,,,,,,,2012-12-19
1472684,Eighth Department,第八處,,,,,,,,,,2012-12-19
1472686,Ninth Department,第九處,,,,,,,,,,2012-12-19
1472699,Department of Statistics,統計處,,,,,,,,,,2012-12-19
1472760,Central Region Office,中部辦公室,,,,,,,,,,2012-12-19
1472766,Department of Culture and Education,文教處 ,,,,,,,,,,2012-12-19
1472770,Department of General Affairs,綜合處 ,,,,,,,,,,2012-12-19
1472772,Data Office ,資料室,,,,,,,,,,2012-12-19
1472780,General Affairs Division ,行政組,,,,,,,,,,2012-12-19
1472782,Research Division ,研究組,,,,,,,,,,2012-12-19
1472784,Meeting Affairs Division ,議事組,,,,,,,,,,2012-12-19
1472787,Reserves Affairs Division,召集組,,,,,,,,,,2012-12-19
1472792,Enlistment and Training Division,甄訓組,,,,,,,,,,2012-12-19
1472800,Management Division ,管理組,,,,,,,,,,2012-12-19
1472803,Recruitment Division,徵集組,,,,,,,,,,2012-12-19
1472806,Rights and Benefits Division ,權益組,,,,,,,,,,2012-12-19
1472811,Entry and Exit Affairs Division,入出國事務組,,,,,,,,,,2012-12-19
1472817,Immigration Affairs Division,移民事務組,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472820,International Affairs Division,國際事務組,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472824,Immigration Information Division,移民資訊組,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472863,Service Affairs Corps,服務事務大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472868,Detention Affairs Corps,收容事務大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472881,First Specialized Operation Corps,專勤事務第一大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472892,Second Specialized Operation Corps,專勤事務第二大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472909,Border Affairs Corps,國境事務大隊,,,,,,,,,,2012-12-19
1472917,"Secretariat, Board of Directors",董事會秘書室,,,,,,,,,,2012-12-19
1472920,"Auditing Office, Board of Directors",董事會稽核室,,,,,,,,,,2012-12-19
1472924,Department of Planning,企劃部,,,,,,,,,,2012-12-19
1472934,Department of Credit Management,審查部,,,,,,,,,,2012-12-19
1472941,Department of Business (I),營業部(一),,,,,,,,,,2012-12-19
1472945,Department of Business (II),營業部(二),,,,,,,,,,2012-12-19
1472954,Department of Circulation,發行部,,,,,,,,,,2012-12-19
1472958,Department of Public Treasury,公庫部,,,,,,,,,,2012-12-19
1472966,Department of International Banking,國外部,,,,,,,,,,2012-12-19
1472970,Department of Trusts,信託部,,,,,,,,,,2012-12-19
1472974,Department of Securities,證券部,,,,,,,,,,2012-12-19
1472980,Department of Treasury,財務部,,,,,,,,,,2012-12-19
1472982,Department of Consumer Banking,消費者金融部,,,,,,,,,,2012-12-19
1472985,Department of Electronic Banking,電子金融部,,,,,,,,,,2012-12-19
1472990,Credit Analysis Office,徵信室,,,,,,,,,,2012-12-19
1473004,General Affairs Office( II),總務室(二),,,,,,,,,,2012-12-19
1473021,Economic Research Office,經濟研究室,,,,,,,,,,2012-12-19
1473028,Legal Affairs Office,法務室,,,,,,,,,,2012-12-19
1473032,Non-performing Loans Center,逾期放款處理中心,,,,,,,,,,2012-12-19
1473033,Training Institute,行員訓練所,,,,,,,,,,2012-12-19
1473038,Printing Works,印刷所,,,,,,,,,,2012-12-19
1473039,Factoring Operations Center,應收帳款作業中心,,,,,,,,,,2012-12-19
1473042,Kaohsiung Region Corporate Banking Center,高雄企業金融區域授信中心,,,,,,,,,,2012-12-19
1473044,First Northern Region Consumer Banking Center,北一區個人金融區域授信中心,,,,,,,,,,2012-12-19
1473049,Offshore Banking Branch,國際金融業務分行,,,,,,,,,,2012-12-19
1473075,In-service and Continuing Education ,進修推廣部,,,,,,,,,,2012-12-19
1473108,Computer Center,電子機計算中心,,,,,,,,,,2012-12-19
1473177,Research and Development Division,研究發展處,,,,,,,,,,2012-12-19
1473223,Evening and Continuing Education Center ,進修暨推廣中心,,,,,,,,,,2012-12-19
1473227,Information Management Center ,資訊中心,,,,,,,,,,2012-12-19
1473236,Student Affairs  Division,學生事務處,,,,,,,,,,2012-12-19
1473247,Student Affairs Division,教務處,,,,,,,,,,2012-12-19
1473250,Extension and Continuing Education Division,進修暨擴廣部,,,,,,,,,,2012-12-19
1473255,Library ,圖書館,,,,,,,,,,2012-12-19
1473258,Practice and Consulting Division,實習輔導處,,,,,,,,,,2012-12-19
1473265,Physical Education Office,體育室,,,,,,,,,,2012-12-19
1473286,Research and Development Section,研發組,,,,,,,,,,2012-12-19
1473288,Research and Development  Division,研發處,,,,,,,,,,2012-12-19
1473310,Student Affairs Division,學務處,,,,,,,,,,2012-12-19
1473333,College of Life Sciences ,生命科學院,,,,,,,,,,2012-12-19
1473342,College of Social Sciences and Management ,社會科學暨管理學院,,,,,,,,,,2012-12-19
1473344,Computer and Information Center ,計算機及資訊網路中心,,,,,,,,,,2012-12-19
1473372,Veterinary Medical Teaching Hospital ,獸醫教學醫院,,,,,,,,,,2012-12-19
1473380,College of Liberal Arts ,文學院,,,,,,,,,,2012-12-19
1473384,College of Foreign Languages ,外國語文學院,,,,,,,,,,2012-12-19
1473388,College of Law ,法學院,,,,,,,,,,2012-12-19
1473405,College of Commerce ,商學院,,,,,,,,,,2012-12-19
1473408,College of Diplomacy ,國際事務學院,,,,,,,,,,2012-12-19
1473410,College of Education ,教育學院,,,,,,,,,,2012-12-19
1473413,College of Natural Sciences ,理學院,,,,,,,,,,2012-12-19
1473414,College of Communication ,傳播學院,,,,,,,,,,2012-12-19
1473422,College of Humanities ,人文學院,,,,,,,,,,2012-12-19
1473424,Public Affairs  Division,公共事務學院,,,,,,,,,,2012-12-19
1473432,College of Law ,法律學院,,,,,,,,,,2012-12-19
1473437,College of Social Science s,社會科學學院,,,,,,,,,,2012-12-19
1473442,College of Business ,商學院,,,,,,,,,,2012-12-19
1473443,College of Engineering ,工學院,,,,,,,,,,2012-12-19
1473447,College of Life and Resource Sciences ,生命與資源科學院,,,,,,,,,,2012-12-19
1473449,College of Technology,技術學院,,,,,,,,,,2012-12-19
1473451,College of Maritime Science,海運學院,,,,,,,,,,2012-12-19
1473453,College of Science,理學院,,,,,,,,,,2012-12-19
1473499,Fifth Division,第五組,,,,,,,,,,2012-12-19
1473509,Sixth Division,第六組,,,,,,,,,,2012-12-19
1473524,Service Promotion Division,服務廣宣組,,,,,,,,,,2012-12-19
1473527,Geological Information Division,地質資料組,,,,,,,,,,2012-12-19
1473531,First Division,第一組,,,,,,,,,,2012-12-19
1473533,Second Division,第二組,,,,,,,,,,2012-12-19
1473537,Third Division,第三組,,,,,,,,,,2012-12-19
1473540,Fourth Division,第四組,,,,,,,,,,2012-12-19
1473544,Planning Division,綜合企劃組,,,,,,,,,,2012-12-19
1473547,Hydrology Division,水文技術組,,,,,,,,,,2012-12-19
1473550,Management Division,水源經營組,,,,,,,,,,2012-12-19
1473553,River and Coast Division,河川海岸組,,,,,,,,,,2012-12-19
1473559,Conservation Division,保育事業組,,,,,,,,,,2012-12-19
1473562,Construction Division,工程事務組,,,,,,,,,,2012-12-19
1473567,Water Administration Division,水利行政組,,,,,,,,,,2012-12-19
1473570,Land Management Division,土地管理組,,,,,,,,,,2012-12-19
1473584,Mine Safety Division,礦場保安組,,,,,,,,,,2012-12-19
1473585,Mine Administration Division,礦務行政組,,,,,,,,,,2012-12-19
1473586,Mine Affairs Division,礦業經濟組,,,,,,,,,,2012-12-19
1473596,Department of Public Relations,公眾服務處,,,,,,,,v,,2012-12-19
1473609,Department of System Planning  ,系統規劃處,,,,,,,,,,2012-12-19
1473611,Department of Power Supply  ,供電處,,,,,,,,,,2012-12-19
1473613,The Approval Committee of Power Development Foundation,促進電力開發協助金審議委員會,,,,,,,,,,2012-12-19
1473614,Department of Nuclear Safety  ,核能安全處,,,,,,,,,,2012-12-19
1473618,Department of Nuclear Engineering  ,核能技術處,,,,,,,,,,2012-12-19
1473621,Department of Nuclear Generation,核能發電處,,,,,,,,v,,2012-12-19
1473625,Secretariat ,秘書處,,,,,,,,,,2012-12-19
1473635,Department of Generation,發電處,,,,,,,,v,,2012-12-19
1473639,Department of Business ,業務處,,,,,,,,,,2012-12-19
1473644,Board of Directors ,董事會,,,,,,,,,,2012-12-19
1473646,Department of Information Management ,資訊系統處,,,,,,,,,,2012-12-19
1473653,Department of Power Development ,電源開發處,,,,,,,,,,2012-12-19
1473656,Department of Fuels,燃料處,,,,,,,,,,2012-12-19
1473659,Data Control Section,資料控制課,,,,,,,,,,2012-12-19
1473660,Machine Operation Section,機器作業課,,,,,,,,,,2012-12-19
1473665,Technical Section,技術課,,,,,,,,,,2012-12-19
1473669,Foundation Section,基礎課,,,,,,,,,,2012-12-19
1473672,Power Apparatus Testing Section,電力設備試驗課,,,,,,,,,,2012-12-19
1473675,Electricity Meters Section,電表課,,,,,,,,,,2012-12-19
1473678,Measuring Instruments Section,儀器課,,,,,,,,,,2012-12-19
1473689,Department of Industrial Safety and Environment Protection,工安環保處,,,,,,,,,,2012-12-19
1473694,Department of Quality Control,品保處,,,,,,,,,,2012-12-19
1473695,Department of Sales,業務處,,,,,,,,,,2012-12-19
1473697,Department of Design,設計處,,,,,,,,,,2012-12-19
1473700,Department of Materials,物料處,,,,,,,,,,2012-12-19
1473703,Special Project Plant,勤業工廠,,,,,,,,,,2012-12-19
1473709,Hull Plant,船體工廠,,,,,,,,,,2012-12-19
1473722,Management Division,管理部,,,,,,,,,,2012-12-19
1473724,Department of Planning,企劃處,,,,,,,,,,2012-12-19
1473728,Department of Public Works,工務處,,,,,,,,,,2012-12-19
1473732,Department of Water Supply,供水處,,,,,,,,,,2012-12-19
1473737,Department of Business,營業處,,,,,,,,,,2012-12-19
1473743,Department of Materials,材料處,,,,,,,,,,2012-12-19
1473744,Department of Water Quality,水質處,,,,,,,,,,2012-12-19
1473766,General Manager's Office,總經理室,,,,,,,,,,2012-12-19
1473784,Department of Mail Business,郵務營業處,,,,,,,,,,2012-12-19
1473790,Department of Mail Operations,郵遞管理處,,,,,,,,,,2012-12-19
1473803,Department of Property Operations,資產營運處,,,,,,,,,,2012-12-19
1473810,Department of Maintenance,技術處,,,,,,,,,,2012-12-19
1473819,Department of Philately,集郵處,,,,,,,,,,2012-12-19
1473837,Department of Savings and Remittances,儲匯處,,,,,,,,,,2012-12-19
1473853,Department of Life Insurance,壽險處,,,,,,,,,,2012-12-19
1473885,Department of Capital Operations,資金運用處,,,,,,,,,,2012-12-19
1473931,Department of Information Management,資訊處,,,,,,,,,,2012-12-19
1473939,Department of Network,網路處,,,,,,,,,,2012-12-19
1473941,Department of Auditing,稽核處,,,,,,,,,,2012-12-19
1473960,Department of Human Resources,人力資源處,,,,,,,,,,2012-12-19
1473962,Department of Legal Affairs,法務處,,,,,,,,,,2012-12-19
1473965,Department of Occupational Safety and Health,勞工安全衛生處,,,,,,,,,,2012-12-19
1473981,Department of Satellite Business,衛星事業處,,,,,,,,,,2012-12-19
1473986,Department of Finance,財務處,,,,,,,,,,2012-12-19
1473994,Air Transport Division ,空運組,,,,,,,,,,2012-12-19
1473997,Flight Standards Division ,飛航標準組,,,,,,,,已整併為助導航設施科,,2012-12-19
1474002,Air Traffic Services Division,飛航管制組,,,,,,,,,,2012-12-19
1474007,Aerodrome Division ,場站組,,,,,,,,,,2012-12-19
1474010,Navigation Facilities Division ,助航組,,,,,,,,,,2012-12-19
1474031,"Hotel, Travel and Training Division",業務組,,,,,,,,,,2012-12-19
1474032,International Affairs Division ,國際組,,,,,,,,,,2012-12-19
1474036,Domestic Tourism Division ,國民旅遊組,,,,,,,,,,2012-12-19
1474038,Toll and Service Division,業務組,,,,,,,,,,2012-12-19
1474044,Technical Division ,技術組,,,,,,,,,,2012-12-19
1474048,Traffic Management Division ,交通管理組,,,,,,,,,,2012-12-19
1474050,Land Division,路產組,,,,,,,,,,2012-12-19
1474061,Secretariat,秘書室 ,,,,,,,,,,2012-12-19
1474065,Planning Division,第一組(企劃組),,,,,,,,,,2012-12-19
1474066,Observation Management Division,第二組 (測政組),,,,,,,,,,2012-12-19
1474072,Applied Meteorology Division ,第三組 (應用氣象組),,,,,,,,,,2012-12-19
1474075,Telecommunication and Radar Division,第四組 (通訊雷達組),,,,,,,,,,2012-12-19
1474081,Research and Development Center,氣象科技研究中心,,,,,,,,,,2012-12-19
1474093,Electrical Engineering Division,機電組,,,,,,,,,,2012-12-19
1474095,Transportation Division,運務組,,,,,,,,,,2012-12-19
1474104,Structural Design Division,結構組,,,,,,,,,,2012-12-19
1474109,Facilities Division,設施組,,,,,,,,,,2012-12-19
1474134,Planning Division ,規劃組,,,,,,,,,,2012-12-19
1474136,Construction and Design  Division,新工組,,,,,,,,,,2012-12-19
1474140,Maintenance  Division ,養路組,,,,,,,,,,2012-12-19
1474144,Land Acquisition Division ,用地組,,,,,,,,,,2012-12-19
1474146,Equipment and Supplies Division,機科組,,,,,,,,,,2012-12-19
1474148,Motor Vehicles Division ,監理組,,,,,,,,,,2012-12-19
1474187,Occupational Safety and Training Division,勞工安全衛生訓練組,,,,,,,,,,2012-12-19
1474193,Vessel Traffic Control Division ,船舶交通管制組,,,,,,,,,,2012-12-19
1474213,Environmental Protection Division ,環境保護組,,,,,,,,,,2012-12-19
1474214,Occupational Safety and Health Division,勞工安全衛生管理組,,,,,,,,,,2012-12-19
1474236,Equipment Division,機務組,,,,,,,,,,2012-12-19
1474239,Research and Development Division,研究發展組,,,,,,,,,,2012-12-19
1474251,Occupational Safety and Environmental Protection Division,勞安環保組,,,,,,,,,,2012-12-19
1474272,Business Division,業務組,,,,,,,,,,2012-12-19
1474276,Harbor Management Division,港務組,,,,,,,,,,2012-12-19
1474279,Construction Division,工務組,,,,,,,,,,2012-12-19
1474281,Vessel Administration Division,航政組,,,,,,,,,,2012-12-19
1474289,Information Management Unit,資訊小組,,,,,,,,,,2012-12-19
1474290,Occupational Safety Unit,勞安組,,,,,,,,,,2012-12-19
1474293,Underwriting Division,承保處,,,,,,,,,,2012-12-19
1474296,Financial Analysis Division,財務處,,,,,,,,,,2012-12-19
1474298,Medical Affairs Division,醫務管理處,,,,,,,,,,2012-12-19
1474300,Medical Affairs Division,醫務管理處,,,,,,,,,,2012-12-19
1474303,Planning Division,企劃處,,,,,,,,,,2012-12-19
1474307,Information Management Division,資訊處,,,,,,,,,,2012-12-19
1474313,Auditing Office,稽核室,,,,,,,,,,2012-12-19
1474335,Taipei Branch,台北分局,,,,,,,,,,2012-12-19
1474336,Chemistry Division,第一組 (藥物化學組),,,,,,,,,,2012-12-19
1474337,Biology Division,第二組 (藥物生物學組),,,,,,,,,,2012-12-19
1474338,Pharmacognosy Division,第三組 (中藥生藥學組),,,,,,,,,,2012-12-19
1474339,Pharmaceutical Plant,製藥工廠,,,,,,,,,,2012-12-19
1474343,Planning Division,企劃及綜合業務組,,,,,,,,,,2012-12-19
1474344,Surveillance and Investigation Division,疾病監測調查組,,,,,,,,,,2012-12-19
1474345,Laboratory Research and Development Division,研究檢驗組,,,,,,,,,,2012-12-19
1474346,Laboratory Resources Division,實驗室資源服務組,,,,,,,,,,2012-12-19
1474347,Quarantine and Prevention Division,檢疫防疫組,,,,,,,,,,2012-12-19
1474357,Admission Department,住院室,,,,,,,,,,2012-12-19
1474358,Medical Records Department,病歷室,,,,,,,,,,2012-12-19
1474361,Diet and Nutrition Department,營養室,,,,,,,,,,2012-12-19
1474362,Social Work Department,社會服務室,,,,,,,,若未設部，各科為一級單位，科譯為Department。,,2012-12-19
1474369,Pharmacy Department,藥劑科,,,,,,,,,,2012-12-19
1474389,Laboratory Department,檢驗科,,,,,,,,,,2012-12-19
1474407,Special Test and Treatment Department,特殊檢查治療部,,,,,,,,,,2012-12-19
1474413,Radiological Diagnosis Department,放射診斷部,,,,,,,,若未設部，各科為一級單位，科譯為Department。,,2012-12-19
1474417,Nuclear Medicine  Department,核子醫學部,,,,,,,,若未設部，各科為一級單位，科譯為Department。,,2012-12-19
1474421,Radiological Therapy Department,放射治療部,,,,,,,,若未設部，各科為一級單位，科譯為Department。,,2012-12-19
1474454,Medical Department,醫療部,,,,,,,,,,2012-12-19
1474456,Nursing Department,護理科,,,,,,,,,,2012-12-19
1474457,Supplies Center,供應中心,,,,,,,,,,2012-12-19
1474483,Outpatient Clinic (OPD Clinic),門診部,,,,,,,,,,2012-12-19
1474488,Emergency Service Department,急診室,,,,,,,,,,2012-12-19
1474493,Operating Room,手術室,,,,,,,,,,2012-12-19
1474494,Burn Unit,燙傷中心,,,,,,,,,,2012-12-19
1474496,Delivery Room,產房,,,,,,,,,,2012-12-19
1474497,Intensive Care Unit,加護病房,,,,,,,,,,2012-12-19
1474521,Ward,病房,,,,,,,,,,2012-12-19
1474526,Medicine Department,內科部,,,,,,,,,,2012-12-19
1474540,Surgery Department,外科部,,,,,,,,,,2012-12-19
1474545,Orthopedics Department,骨科部,,,,,,,,,,2012-12-19
1474550,Anesthesiology Department,麻醉部,,,,,,,,,,2012-12-19
1474551,Chest Department,胸腔部,,,,,,,,,,2012-12-19
1474559,Obstetrics and Gynecology Department,婦產部,,,,,,,,,,2012-12-19
1474563,Pediatrics Department,小兒部,,,,,,,,,,2012-12-19
