ID,英文名稱,中文名稱,圖片,類號,化學式,更新日期
508745,sodium decaborate,十硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">(NaB</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508746,sodium boron salicylate; sodium borosalicylate,硼柳酸鈉；硼水楊酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na[B(C</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508747,sodium borohydride; sodium boron hydride,硼氫化鈉,,化學化合物,"<Font html:Color=""#000000"">NaBH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508748,p-tolylboron difluoride,二氟化對甲苯硼; 二氟化對【草+叨】硼,,化學化合物,"<Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">BF</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508749,rubidium tetraphenylborate,四苯硼酸銣,,化學化合物,"<Font html:Color=""#000000"">Rb[B(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508751,silver tetraborate,四硼酸銀,,化學化合物,"<Font html:Color=""#000000"">Ag</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508752,potassium trifluorohydroxoborate {potassium trifluoroborate},三氟羥硼酸鉀 {三氟硼酸鉀},,化學化合物,"<Font html:Color=""#000000"">K[BF</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(OH)]</Font>",2012-11-26
508753,propyl borate,硼酸丙酯,,9707,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508754,potassium trifluoroborate {potassium trifluorohydroxoborate},三氟硼酸鉀 {三氟羥硼酸鉀},,化學化合物,"<Font html:Color=""#000000"">K[BF</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(OH)]</Font>",2012-11-26
508755,p-tolylboron difluoride,二氟化對【草+叨】硼,,11144,"<Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">BF</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508756,potassium tetraborate,四硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508757,potassium tetrafluoroborate,四氟硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">KBF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508758,potassium tetraborane,四硼烷[二]鉀,,化學化合物,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub>",2012-11-26
508759,potassium peroxyborate {potassium perborate},過氧硼酸鉀 {過硼酸鉀},,化學化合物,"<Font html:Color=""#000000"">KBO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508760,potassium perborate,過硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">KBO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508761,potassium pentaborate,五硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">KB</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub>",2012-11-26
508762,potassium pentaborane,五硼烷[二]鉀,,化學化合物,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub>",2012-11-26
508763,potassium fluoroborate,四氟硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">KBF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508764,potassium hexaborate,六硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub>",2012-11-26
508765,potassium metaborate,偏硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">KBO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508766,potassium octaborate,八硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">13</Font></Sub>",2012-11-26
508767,potassium difluorodihydroxoborate {potassium difluoroborate},二氟二羥硼酸鉀 {二氟[代]硼酸鉀},,化學化合物,"<Font html:Color=""#000000"">KBF</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508768,potassium diborane,二硼烷[二]鉀,,化學化合物,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
508770,potassium decaborate,十硼酸鉀,,化學化合物,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">16</Font></Sub>",2012-11-26
508771,potassium difluoroborate {potassiumdifluorodihydroxoborate},二氟[代]硼酸鉀 {二氟二羥硼酸鉀},,化學化合物,"<Font html:Color=""#000000"">KBF</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508772,potassium boron tartrate; potassium borotartrate,硼酒石酸鉀,,化學化合物,"<Font html:Color=""#000000"">K[B(C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508774,phenylboron dichloride,二氯化苯硼,,化學化合物,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">BCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508775,potassium aluminum borate,硼酸鋁鉀,,化學化合物,"<Font html:Color=""#000000"">K(AlO)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508776,phenylboron difluoride,二氟化苯硼,,9285,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">BF</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508777,phenylboron dibromide,二溴化苯硼,,化學化合物,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)Br</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508778,perborate,過硼酸鹽,,化學術語,,2012-11-26
508779,pentaborane,五硼烷,,化學化合物,,2012-11-26
508780,pentaborane(9),五硼烷,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub>",2012-11-26
508781,nitrosyl tetrafluoroborate,四氟硼酸亞硝,,化學化合物,"<Font html:Color=""#000000"">(NO)BF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508782,nitrosyl tetrafluoroborate,亞硝醯四氟硼酸,,化學化合物,,2012-11-26
508783,organoboron compound,有機硼化合物,,化學術語,,2012-11-26
508784,o-tolueneboronic acid; o-tolueneboric acid,鄰甲苯硼酸,,11097,"<Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508785,methyl borate {trimethoxyboron},硼酸甲酯,,11447,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">B</Font>",2012-11-26
508786,methylborine trimethylamine,三甲胺合甲硼[烷],,7899,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">NBH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508788,methyl borate,硼酸[三]甲酯,,化學化合物,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">B</Font>",2012-11-26
508789,metaborate,偏硼酸鹽,,化學術語,,2012-11-26
508790,methoxyboron dichloride,二氯化甲氧硼,,7630,"<Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">OBCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508791,methoxyboron difluoride,二氟化甲氧硼,,7631,"<Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">OBF</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508793,manganese(II) tetraborate,四硼酸錳(II),,化學化合物,"<Font html:Color=""#000000"">MnB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508794,menthyl borate,硼酸【草孟】酯,,7528,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">30</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">57</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508795,manganese(II) metaborate,偏硼酸錳(II),,化學化合物,"<Font html:Color=""#000000"">Mn(BO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508796,manganese(II) orthoborate,[正]硼酸錳(II)；原硼酸錳(II),,化學化合物,"<Font html:Color=""#000000"">Mn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508797,manganese(II) hydrogen orthoborate,[正]硼酸二氫錳(II),,化學化合物,"<Font html:Color=""#000000"">Mn(H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508798,manganese(II) borate; manganous borate,硼酸錳(II),,化學化合物,"<Font html:Color=""#000000"">Mn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508799,magnesium pyroborate {magnesium diborate},焦硼酸鎂 {二硼酸鎂},,化學化合物,,2012-11-26
508800,magnesium tetraborate,四硼酸鎂,,化學化合物,"<Font html:Color=""#000000"">MgB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508801,magnesium perborate,過硼酸鎂,,化學化合物,"<Font html:Color=""#000000"">Mg(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508802,magnesium peroxoborate; magnesium peroxyborate {magnesium perborate},過氧硼酸鎂 {過硼酸鎂},,化學化合物,"<Font html:Color=""#000000"">Mg(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508803,magnesium metaborate,偏硼酸鎂,,化學化合物,"<Font html:Color=""#000000"">Mg(BO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508804,magnesium orthoborate,[正]硼酸鎂,,化學化合物,"<Font html:Color=""#000000"">Mg</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508805,magnesium diborate {magnesium pyroborate},二硼酸鎂 {焦硼酸鎂},,化學化合物,"<Font html:Color=""#000000"">Mg</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub>",2012-11-26
508806,magnesium hexaborate,六硼酸鎂,,化學化合物,"<Font html:Color=""#000000"">MgB</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub>",2012-11-26
508807,lithium peroxyborate; lithium peroxoborate {lithium perborate},過氧硼酸鋰 {過硼酸鋰},,化學化合物,,2012-11-26
508808,lithium tetraborate,四硼酸鋰,,化學化合物,"<Font html:Color=""#000000"">Li</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508809,magnesium borate,硼酸鎂,,化學化合物,"<Font html:Color=""#000000"">MgB</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508810,lithium metaborate,偏硼酸鋰,,化學化合物,"<Font html:Color=""#000000"">LiBO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508811,lithium monoborate,單硼酸鋰,,化學化合物,"<Font html:Color=""#000000"">LiBO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508812,lithium pentaborate,五硼酸鋰,,化學化合物,"<Font html:Color=""#000000"">LiB</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub>",2012-11-26
508813,lithium borohydride; lithium boron hydride,硼氫化鋰,,化學化合物,"<Font html:Color=""#000000"">LiBH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508814,lithium decaborate,十硼酸鋰,,化學化合物,"<Font html:Color=""#000000"">Li</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">16</Font></Sub>",2012-11-26
508815,lead metaborate,偏硼酸鉛(II),,化學化合物,"<Font html:Color=""#000000"">Pb(BO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508816,lead tetraborate,四硼酸鉛(IV),,化學化合物,"<Font html:Color=""#000000"">PbB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508817,lithium borate; lithium biborate; lithium tetraborate,硼酸鋰,,化學化合物,"<Font html:Color=""#000000"">Li</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508818,hydroboron,硼氫化物,,化學術語,,2012-11-26
508819,isoamyl borate,硼酸異戊酯,,6732,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508820,isobutyl borate,硼酸異丁酯,,6808,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508821,lead borate,硼酸鉛(II),,化學化合物,"<Font html:Color=""#000000"">Pb(BO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">·H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font>",2012-11-26
508822,ferroboron,硼鐵合金,,化學術語,,2012-11-26
508823,fluoroborate,氟硼酸鹽,,化學術語,,2012-11-26
508824,fluoro-boron-complex,氟硼錯合物,,化學術語,,2012-11-26
508825,gallium borohydride; gallium boron hydride,硼氫化鎵(III),,化學化合物,"<Font html:Color=""#000000"">Ga(BH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508826,hexaboron silicide,矽化六硼,,化學化合物,"<Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">Si &#160;</Font>",2012-11-26
508827,ethylboron dihydroxide {ethylboric acid },二氫氧化乙硼 {乙硼酸},,化學化合物,"<Font html:Color=""#000000"">&#160;C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508828,ethylboron dihydroxide {ethylboric acid},二氫氧化乙硼,,4936,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508829,ethylboric acid; ethylboronic acid {ethylboron dihydroxide},乙[基]硼酸 {二氫氧化乙硼},,化學化合物,"<Font html:Color=""#000000"">&#160;C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508830,triethoxyboron {ethyl borate},三乙氧硼 {硼酸乙酯},,11344,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508831,ethyl borate {triethoxyboron},硼酸乙酯 {三乙氧硼},,4935,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
