ID,英文名詞,中文名詞,詞類,更新日期
21383598,abutment line,橋台線,橋梁工程,
21383599,abutment wall,橋台軀體,橋梁工程,
21383600,abutting joint,對抵接頭；毗連接頭,橋梁工程,
21383601,accelerated bridge construction (ABC),快速橋梁施工,橋梁工程,
21383602,accelerated bridge program (ABP) ,快速橋梁施工計畫,橋梁工程,
21383603,accidental discovery,遺址發掘,橋梁工程,
21383604,acid Bessemer steel,酸性柏思麥鋼 ,橋梁工程,
21383605,acid open-hearth furnace,酸性平爐 ,橋梁工程,
21383606,acid open-hearth process,酸性平爐法,橋梁工程,
21383607,acid open-hearth steel,酸性平爐鋼 ,橋梁工程,
21383608,activity of cement,水泥活性,橋梁工程,
21383609,actual horsepower,實際馬力,橋梁工程,
21383610,adiabatic curve,絕熱曲線 ,橋梁工程,
21383611,adjustable eye-bar,可調式眼桿,橋梁工程,
21383612,adjustable key,活動扳手,橋梁工程,
21383613,adjustable member,可調桿件,橋梁工程,
21383614,adjusting key,活動扳手,橋梁工程,
21383615,administration,主管機關,橋梁工程,
21383616,adopt-a-bridge program,橋梁認養計畫,橋梁工程,
21383617,adulterant,摻假物,橋梁工程,
21383618,adulteration,摻假 ,橋梁工程,
21383619,advancing load stress,預加載重應力,橋梁工程,
21383620,adze,錛；錛鋤,橋梁工程,
21383621,aesthetic requirement,美學要求,橋梁工程,
21383622,air chamber,氣室 ,橋梁工程,
21383623,air compressor,空壓機；空氣壓縮機,橋梁工程,
21383624,air current,氣流,橋梁工程,
21383625,air cushion,氣墊,橋梁工程,
21383626,air cylinder,氣缸 ,橋梁工程,
21383627,air dolly,氣動台車,橋梁工程,
21383628,air gauge,氣壓計；氣壓表,橋梁工程,
21383629,air gun,氣槍,橋梁工程,
21383630,air hammer,氣鎚 ,橋梁工程,
21383631,air hoist,氣壓起重機,橋梁工程,
21383632,air hose,輸氣管,橋梁工程,
21383633,air line,航線；架空線；空氣線,橋梁工程,
21383634,air piston,氣動活塞 ,橋梁工程,
21383635,air pressure,氣壓,橋梁工程,
21383636,air pump,空氣泵；空氣幫浦,橋梁工程,
21383637,air reamer,氣動鉸孔機 ,橋梁工程,
21383638,air riveter,氣動鉚釘槍,橋梁工程,
21383639,air shaft,通風井 ,橋梁工程,
21383640,air slaked lime,風化石灰 ,橋梁工程,
21383641,air slaking,風化,橋梁工程,
21383642,air working chamber,沉箱工作氣室,橋梁工程,
21383643,air-blast,氣爆,橋梁工程,
21383644,air-lift,氣升器；氣力起重機 ,橋梁工程,
21383645,air-lift pump,氣升泵,橋梁工程,
21383646,air-lock,氣鎖室,橋梁工程,
21383647,air-receiver,貯氣箱；集氣箱,橋梁工程,
21383648,air-setting,空氣固化,橋梁工程,
21383649,algebraic curve,代數曲線 ,橋梁工程,
21383650,alkaline copper quarternary (ACQ),鹼性銅烷基銨化合物{木材防腐劑},橋梁工程,
21383651,alligator riveter,鉗口鉚釘機,橋梁工程,
21383652,alligator wrench,鱷齒扳手,橋梁工程,
21383653,allowable unit stress,容許單位應力,橋梁工程,
21383654,alloy,合金,橋梁工程,
21383655,alloy steel,合金鋼,橋梁工程,
21383656,alluvial deposition,沖積淤積；沖淤,橋梁工程,
21383657,all-welded construction bridge,全銲接[施工]橋梁,橋梁工程,
21383658,alternate layout,替代方案；替選方案,橋梁工程,
21383659,alternating current,交流電,橋梁工程,
21383660,alternative layout,替選配置,橋梁工程,
21383661,aluminum,鋁,橋梁工程,
21383662,aluminum bronze,鋁青銅 ,橋梁工程,
21383663,American Association of State and Highway Transportation Officials (AASHTO) ,美國國家公路與運輸官員協會,橋梁工程,
21383664,ammeter,電流計；安培計 ,橋梁工程,
21383665,amorphous,非晶質 ,橋梁工程,
21383666,amortization,資本攤提；攤銷,橋梁工程,
21383667,amount,總計；本利和,橋梁工程,
21383668,anchor arm,錨定端邊跨,橋梁工程,
21383669,anchor bar,錨定棒,橋梁工程,
21383670,anchor pier,錨定橋墩,橋梁工程,
21383671,anchor plate,錨定板,橋梁工程,
21383672,anchor shackle,錨接環,橋梁工程,
21383673,anchor span,錨定端邊跨,橋梁工程,
21383674,angle,角鋼；夾角,橋梁工程,
21383675,angle clip,剪力連接角鋼,橋梁工程,
21383676,angle joint,斜接；角接,橋梁工程,
21383677,angle lacing,角鋼繫條,橋梁工程,
21383678,angle lug,短角鐵；短角鋼,橋梁工程,
21383679,angle of friction,摩擦角,橋梁工程,
21383680,angle of rupture,破裂角,橋梁工程,
21383681,angle of torsion,扭角；扭轉角,橋梁工程,
21383682,angle shears,角鐵剪切機,橋梁工程,
21383683,angle strut,角鋼支撐；角鋼支柱；角鋼支桿,橋梁工程,
21383684,angle-iron,角鋼,橋梁工程,
21383685,angular fracture,角尖破裂；角端破裂,橋梁工程,
21383686,angular strain,扭轉應變；角應變,橋梁工程,
21383687,angular velocity,角速度,橋梁工程,
21383688,anneal,退火；回火；韌化,橋梁工程,
21383689,annealing furnace,退火爐 ,橋梁工程,
21383690,annual average daily traffic (AADT) ,年平均每日交通流量,橋梁工程,
21383691,annual exceedance probability (AEP) ,年超越機率,橋梁工程,
21383692,annuity,年金,橋梁工程,
21383693,anvil,鐵砧,橋梁工程,
21383694,anvil vise,砧鉗,橋梁工程,
21383695,apex,桁架頂點,橋梁工程,
21383696,apex load,桁架頂點載重,橋梁工程,
21383697,apparent stress,視應力 ,橋梁工程,
21383698,approach,引道,橋梁工程,
21383699,approach embankment,引道路堤,橋梁工程,
21383700,approach map,進橋版,橋梁工程,
21383701,approach railing ,引道欄杆,橋梁工程,
21383702,approach road,引道,橋梁工程,
21383703,approach slab ,進橋版,橋梁工程,
21383704,approach span,進橋版跨,橋梁工程,
21383705,aquaduct,渡槽,橋梁工程,
21383706,aqueduct,水道；渠道；渡槽；輸水道,橋梁工程,
21383707,arc,弧,橋梁工程,
21383708,arch barrel,拱體筒圈,橋梁工程,
21383709,arch buttress,拱扶壁；飛扶壁,橋梁工程,
21383710,arch centre,拱支撐,橋梁工程,
21383711,arch culvert,拱形橋涵,橋梁工程,
21383712,arch dam,拱壩,橋梁工程,
21383713,arch depth,拱深,橋梁工程,
21383714,arch face,拱立面,橋梁工程,
21383715,arch method ,拱構法,橋梁工程,
21383716,arch rib,拱肋,橋梁工程,
21383717,arch ring,拱圈,橋梁工程,
21383718,arch stone,拱石,橋梁工程,
21383719,arch truss,拱式桁架,橋梁工程,
21383720,archaeological investigation,考古調查,橋梁工程,
21383721,archaeological plan,考古計畫,橋梁工程,
21383722,archaeological report,考古報告,橋梁工程,
21383723,archaeological resource,考古資源,橋梁工程,
21383724,archaeological technician,考古技術人員,橋梁工程,
21383725,arch-back,拱背,橋梁工程,
21383726,arched girder,拱形梁；拱梁,橋梁工程,
21383727,arching action,拱勢作用；拱作用,橋梁工程,
21383728,architect,建築師,橋梁工程,
21383729,architect's rod,建築師用標尺,橋梁工程,
21383730,architects' scale,比例尺,橋梁工程,
21383731,architectural historian,建築史專家,橋梁工程,
21383732,architectural rod,建築桿件,橋梁工程,
21383733,area moment,面積矩,橋梁工程,
21383734,arithmetical progression,算術級數 ,橋梁工程,
21383735,asbestos packing,石棉襯墊,橋梁工程,
21383736,asbestos paper,石棉紙,橋梁工程,
21383737,asphalt furnace,瀝青爐,橋梁工程,
21383738,asphalt rock,瀝青岩 ,橋梁工程,
21383739,asphalter,瀝青工,橋梁工程,
21383740,asphaltic mastic,瀝青膠泥,橋梁工程,
21383741,asphaltum,瀝青,橋梁工程,
21383742,assay balance,試金天平 ,橋梁工程,
21383743,assay furnace,試金爐 ,橋梁工程,
21383744,assemblage,組合；裝配,橋梁工程,
21383745,assembling bolt,組合螺栓；裝配螺栓 ,橋梁工程,
21383746,assembling hoist,起重機；吊車,橋梁工程,
21383747,assistant engine,輔助引擎,橋梁工程,
21383748,A-truss,A 形桁架,橋梁工程,
21383749,auger,螺鑽;螺鑽機,橋梁工程,
21383750,auger bit,螺旋鑽頭,橋梁工程,
21383751,automatic gate,自動門,橋梁工程,
21383752,automatic switch,自動開關,橋梁工程,
21383753,average daily traffic (ADT) ,平均每日交通量,橋梁工程,
21383754,average end-area formula,平均端面積計算公式,橋梁工程,
21383755,average haul,平均運距,橋梁工程,
21383756,avoidance,迴避 ,橋梁工程,
21383757,awl,錐子 ,橋梁工程,
21383758,axe hammer,斧鎚 ,橋梁工程,
21383759,axed ashlar,斧劈方石,橋梁工程,
21383760,axed dressing,斧劈飾面,橋梁工程,
21383761,axed stone,斧劈石,橋梁工程,
21383762,axial stress,軸應力,橋梁工程,
21383763,axiom,公理 ,橋梁工程,
21383764,axis,軸,橋梁工程,
21383765,axis of gravity,重心軸,橋梁工程,
21383766,axis of perspectivity,透視軸,橋梁工程,
21383767,axis of pressure,壓力軸,橋梁工程,
21383768,axis of resistance,反力軸,橋梁工程,
21383769,axis of rotation,旋轉軸,橋梁工程,
21383770,axle concentration,軸集中力,橋梁工程,
21383771,B. & O. punch,鉚釘沖出機,橋梁工程,
21383772,B. and O,鉚釘沖出機,橋梁工程,
21383773,Babbitt metal,巴比特合金,橋梁工程,
21383774,back speed,車床二速檔；後退速,橋梁工程,
21383775,backing,背襯；支撐；背填,橋梁工程,
21383776,backing-out punch,鉚釘沖出機,橋梁工程,
21383777,back-lash,輪齒隙 ,橋梁工程,
21383778,back-sight,後視 ,橋梁工程,
21383779,backstay,背拉索 ,橋梁工程,
21383780,back-stay,背拉索 ,橋梁工程,
21383781,backstay cable,背拉索 ,橋梁工程,
21383782,backwall,橋台背牆,橋梁工程,
21383783,backwater,壅水,橋梁工程,
21383784,Bailey bridge,倍力橋 ,橋梁工程,
21383785,balance beam,天平桿,橋梁工程,
21383786,balance blocks,配重塊；平衡塊,橋梁工程,
21383787,balance crane,平衡式起重機,橋梁工程,
21383788,balanced cantilever,平衡懸臂,橋梁工程,
21383789,balanced load stress,平衡載重應力,橋梁工程,
21383790,bale hook,捆鉤,橋梁工程,
21383791,balk,大木梁,橋梁工程,
21383792,ball bearing,球形支承,橋梁工程,
21383793,ball check valve,球形止回閥 ,橋梁工程,
21383794,ball cock,浮球閥,橋梁工程,
21383795,ball iron,熟鐵球,橋梁工程,
21383796,ball joint,球接頭；球窩接頭,橋梁工程,
21383797,ball pein hammer,圓頭鐵槌,橋梁工程,
21383798,ball valve,球閥,橋梁工程,
21383799,ballast hammer,石碴鎚,橋梁工程,
21383800,ballasted floor,道碴版；道碴橋面版,橋梁工程,
21383801,ball-bearing jack,球承千斤頂,橋梁工程,
21383802,balling furnace,攪煉爐,橋梁工程,
21383803,ball-peen hammer,圓頭鐵槌,橋梁工程,
21383804,Baltimore (Pratt) truss,巴爾的摩桁架；普拉特桁架,橋梁工程,
21383805,Baltimore truss,巴爾的摩桁架,橋梁工程,
21383806,baluster,扶手支柱 ,橋梁工程,
21383807,balustrade,欄杆；扶手,橋梁工程,
21383808,band pulley,帶輪,橋梁工程,
21383809,band saw,帶鋸 ,橋梁工程,
21383810,banded granite,帶狀花崗岩,橋梁工程,
21383811,bank discount,貸款預付利息,橋梁工程,
21383812,bank seat abutment,護岸橋台,橋梁工程,
21383813,bank sill,岸檻,橋梁工程,
21383814,bankfull width (BFW) ,滿水河道寬幅,橋梁工程,
21383815,bar buster,鉚釘剷桿,橋梁工程,
21383816,bar cutter,鋼棒裁切機,橋梁工程,
21383817,bar dolly,桿推車,橋梁工程,
21383818,bar iron,鐵條,橋梁工程,
21383819,barb bolt,棘螺栓；基礎螺栓,橋梁工程,
21383820,barge,駁船,橋梁工程,
21383821,barge spike,船釘,橋梁工程,
21383822,bark,樹皮,橋梁工程,
21383823,barn-siding,穀倉壁板,橋梁工程,
21383824,barometer,氣壓計,橋梁工程,
21383825,barrel,桶型拱,橋梁工程,
21383826,barrel of a capstan,絞盤桶,橋梁工程,
21383827,barrier rail,緣石；護欄,橋梁工程,
21383828,bartizan,小型瞭望台,橋梁工程,
21383829,bascule,上開橋,橋梁工程,
21383830,bascule span,上開橋跨,橋梁工程,
21383831,bascule-leaf,上開橋翼；上開橋面,橋梁工程,
21383832,base casting,基礎鑄件,橋梁工程,
21383833,base of rail,軌道基面高程,橋梁工程,
21383834,basic open-hearth furnace,鹼性平爐,橋梁工程,
21383835,basic open-hearth process,鹼性平爐法 ,橋梁工程,
21383836,basic open-hearth steel,鹼性平爐鋼 ,橋梁工程,
21383837,basic pig,鹼性生鐵 ,橋梁工程,
21383838,basil,工具切削角,橋梁工程,
21383839,basing,基底邊界,橋梁工程,
21383840,bastard file,粗齒銼,橋梁工程,
21383841,bastard granite,片麻岩；假花崗岩,橋梁工程,
21383842,bat bolt,帶籫螺栓 ,橋梁工程,
21383843,bateau bridge,浮船橋,橋梁工程,
21383844,bath-tray,洗滌盤,橋梁工程,
21383845,batten,條材；撐條,橋梁工程,
21383846,batten-door,條板門,橋梁工程,
21383847,batter,傾角 ,橋梁工程,
21383848,batter brace,端斜桿,橋梁工程,
21383849,batter post,端斜桿,橋梁工程,
21383850,battered pier,寬底橋墩,橋梁工程,
21383851,battering ram,驅動槌；衝槌,橋梁工程,
21383852,baulk,大木梁,橋梁工程,
21383853,bead joint,圆凸勾缝；填角銲縫；凸銲縫,橋梁工程,
21383854,beam,梁；小梁,橋梁工程,
21383855,beam bridge,梁橋,橋梁工程,
21383856,beam hanger nut,梁吊架螺帽,橋梁工程,
21383857,beam span,梁跨度,橋梁工程,
21383858,beam trussing rod,桁架拉力桿,橋梁工程,
21383859,beam-hanger plate,梁端懸吊板,橋梁工程,
21383860,beam-trussing post,桁架短撐,橋梁工程,
21383861,bearing,支承,橋梁工程,
21383862,bearing bolt,軸承螺栓；支承螺栓,橋梁工程,
21383863,bearing pile,承載樁；支承樁；點承樁,橋梁工程,
21383864,bearing point,承載點；承載處,橋梁工程,
21383865,bearing pressure,承壓；承載壓力；支承壓應力,橋梁工程,
21383866,bearing shelf,橋台承載座,橋梁工程,
21383867,bearing stress,承載應力,橋梁工程,
21383868,becket,索環,橋梁工程,
21383869,becket block,具索環滑車,橋梁工程,
21383870,bed,岩床；機台；床；基底,橋梁工程,
21383871,bed frame,基架,橋梁工程,
21383872,bed joint,磚石水平接縫,橋梁工程,
21383873,bed plate,底板；座板,橋梁工程,
21383874,bed stone,基石,橋梁工程,
21383875,bed timber,支承木墊材,橋梁工程,
21383876,bedrock,基岩,橋梁工程,
21383877,bed-rock,基岩,橋梁工程,
21383878,beetle,木槌,橋梁工程,
21383879,belay,繫緊纜繩,橋梁工程,
21383880,belaying-pin,繫索栓；套索樁；止索栓,橋梁工程,
21383881,Belgian tank locomotive,比利時蒸氣機車頭,橋梁工程,
21383882,bell,鐘型物；擴口端；管承接口,橋梁工程,
21383883,bell and hopper,鐘斗形蓋；進料器 ,橋梁工程,
21383884,bell crank,鐘形曲柄；雙臂曲柄,橋梁工程,
21383885,bellow,風箱,橋梁工程,
21383886,belt,帶狀物,橋梁工程,
21383887,belt saw,帶鋸 ,橋梁工程,
21383888,belting,製帶材料,橋梁工程,
21383889,bench dog,木工台擋栓,橋梁工程,
21383890,bench vise,檯鉗,橋梁工程,
21383891,benchmark,水準點；基準樣品,橋梁工程,
21383892,bench-table,牆基；牆臺,橋梁工程,
21383893,bend,彎曲,橋梁工程,
21383894,bending slab,彎板；蜂巢平台,橋梁工程,
21383895,bending stress,彎曲應力；抗彎應力,橋梁工程,
21383896,bending test,彎曲試驗；抗彎試驗,橋梁工程,
21383897,bends,潛水病；減壓症,橋梁工程,
21383898,bent,框架式橋墩,橋梁工程,
21383899,bent club dolly,彎把頂鉚具,橋梁工程,
21383900,bent dolly,頂鉚具,橋梁工程,
21383901,bent loop,眼桿彎環,橋梁工程,
21383902,bent-eye,彎眼,橋梁工程,
21383903,bent-linked chain,套環鏈 ,橋梁工程,
21383904,berm,戧道；戧台；護堤；堤岸,橋梁工程,
21383905,berme,堤岸；護堤,橋梁工程,
21383906,berme stakes,護堤樁,橋梁工程,
21383907,Bessemer furnace,貝塞麥轉爐煉鋼法,橋梁工程,
21383908,Bessemer pig,貝塞麥生鐵,橋梁工程,
21383909,Bessemer process,貝塞麥法,橋梁工程,
21383910,Bessemer steel,貝塞麥鋼,橋梁工程,
21383911,Bethlehem beam,伯利恆梁,橋梁工程,
21383912,Bethlehem column,伯利恆柱,橋梁工程,
21383913,Beton,混凝土,橋梁工程,
21383914,Beton Coignet,柯涅混凝土,橋梁工程,
21383915,Beton-Coignet,柯涅混凝土,橋梁工程,
21383916,bettle,木槌,橋梁工程,
21383917,bevel,斜角；斜角規,橋梁工程,
21383918,bevel gear,傘形齒輪；椎形齒輪,橋梁工程,
21383919,beveled edge,倒角；斜切邊,橋梁工程,
21383920,beveled joint,斜面接頭,橋梁工程,
21383921,beveled tie,斜面枕木,橋梁工程,
21383922,beveled wheel,斜面輪,橋梁工程,
21383923,beveled-gear jack,傘形齒輪千斤頂；椎形齒輪千斤頂,橋梁工程,
21383924,bicalcic silicate,矽酸二鈣,橋梁工程,
21383925,bight,小灣；帶繩[索]套{俗稱琵琶頭}；繩耳；回頭索,橋梁工程,
21383926,bill of material,材料清單,橋梁工程,
21383927,billet,毛坯；鋼胚,橋梁工程,
21383928,bin,料架；槽,橋梁工程,
21383929,binding joists,連結小梁,橋梁工程,
21383930,bird's-mouth joint,鳥口接合,橋梁工程,
21383931,bit,鑽頭,橋梁工程,
21383932,bitt,繫纜柱；繫柱,橋梁工程,
21383933,bituminous concrete,瀝青混凝土 ,橋梁工程,
21383934,bituminous concrete pavement ,瀝青混凝土鋪面,橋梁工程,
21383935,black lead,石墨；筆鉛,橋梁工程,
21383936,black lead graphite,石墨；筆鉛 ,橋梁工程,
21383937,blacklead,石墨；筆鉛 ,橋梁工程,
21383938,blacksmith's forge,鍛鐵爐 ,橋梁工程,
21383939,blank bolt,螺栓胚件,橋梁工程,
21383940,blast furnace,高爐；鼓風爐 ,橋梁工程,
21383941,blast pipe,鼓風管；送風管 ,橋梁工程,
21383942,bled ingot,空心鋼錠,橋梁工程,
21383943,blind arch,盲拱,橋梁工程,
21383944,blind axle,盲軸,橋梁工程,
21383945,blind header,暗丁磚；隱藏式楣梁,橋梁工程,
21383946,blister steel,滲碳鋼；泡面鋼 ,橋梁工程,
21383947,block and block,滑車相碰；[滑車]到頂,橋梁工程,
21383948,block and falls,滑輪組 ,橋梁工程,
21383949,block and tackle,滑輪組 ,橋梁工程,
21383950,block brake,塊狀軔；塊狀煞車,橋梁工程,
21383951,blocking hammer,塊狀槌,橋梁工程,
21383952,blooming rolls,塊料軋輥；中坯軋輥,橋梁工程,
21383953,blow gun,噴槍 ,橋梁工程,
21383954,blow pipe,吹管 ,橋梁工程,
21383955,blow-hole,氣孔{鑄疵} ,橋梁工程,
21383956,blowing of mortar,砂漿噴灑 ,橋梁工程,
21383957,blow-out,噴出 ; 爆裂,橋梁工程,
21383958,blowpipe,高壓噴氣管；銲槍；切割槍,橋梁工程,
21383959,blue print,藍圖；藍曬圖,橋梁工程,
21383960,blue print paper,藍曬紙,橋梁工程,
21383961,blue printing,藍曬,橋梁工程,
21383962,blueprint,藍圖；藍曬圖,橋梁工程,
21383963,blue-short iron,藍脆鐵,橋梁工程,
21383964,blue-shortness,藍脆性,橋梁工程,
21383965,blunt file,鈍銼；粗銼,橋梁工程,
21383966,board-measure,板材量法 ,橋梁工程,
21383967,boasted dressing,細條鑿飾石面,橋梁工程,
21383968,boasting,鑿飾,橋梁工程,
21383969,boat bridge,浮船橋,橋梁工程,
21383970,boat hook,艇鉤,橋梁工程,
21383971,boat ratchet,船用棘輪 ,橋梁工程,
21383972,boat spike,船釘 ,橋梁工程,
21383973,bog iron,沼鐵礦 ,橋梁工程,
21383974,bogie truck,轉向車架 ,橋梁工程,
21383975,boil,沸騰,橋梁工程,
21383976,boiler,汽鍋 ; 鍋爐,橋梁工程,
21383977,boiler plate,鍋爐鋼板,橋梁工程,
21383978,boiler steel,鍋爐用鋼 ,橋梁工程,
21383979,boiling test of cement,水泥煮沸試驗,橋梁工程,
21383980,Bollman truss,博爾曼桁架,橋梁工程,
21383981,bolster,墊材；支承材；防撞塊；止震塊,橋梁工程,
21383982,bolt eye,螺栓眼,橋梁工程,
21383983,bolt head,螺栓頭,橋梁工程,
21383984,bolt housing,螺栓罩,橋梁工程,
21383985,Bonanza tile,波南扎屋瓦,橋梁工程,
21383986,bond resistance,握裹強度；黏結強度,橋梁工程,
21383987,bond stone,束石；直立石；直通石；粘結石,橋梁工程,
21383988,boning,測平法,橋梁工程,
21383989,bonnet,管帽,橋梁工程,
21383990,boom,動臂{起重機}；吊桿,橋梁工程,
21383991,boom brace,吊臂斜桿,橋梁工程,
21383992,boom guy,動臂拉線{起重機},橋梁工程,
21383993,boom iron,吊桿端環,橋梁工程,
21383994,boom tackle,吊桿滑輪組,橋梁工程,
21383995,boom-out,吊桿最大伸距,橋梁工程,
21383996,boom-seat,吊桿坐墊,橋梁工程,
21383997,bore,鑽孔；開孔,橋梁工程,
21383998,boring bar,鑽桿,橋梁工程,
21383999,boring casing,鑽探套管 ,橋梁工程,
21384000,boring machine,鑽掘機；鑽機,橋梁工程,
21384001,boring mill,搪床 ,橋梁工程,
21384002,borrow pit,借土坑；借土區,橋梁工程,
21384003,bosh,草圖；爐腹 ,橋梁工程,
21384004,boss,輪轂；工頭,橋梁工程,
21384005,Boston rod,波士頓水準尺,橋梁工程,
21384006,bottom lateral bracing,下弦桿側撐；下橫撐,橋梁工程,
21384007,bottom laterals,下弦桿側撐；下橫撐,橋梁工程,
21384008,boundary description,邊界描述；邊界描繪,橋梁工程,
21384009,boundary justification,邊界選定理由,橋梁工程,
21384010,bowstring arch bridge,弓弦式拱橋,橋梁工程,
21384011,bowstring arch truss,弓弦式桁架,橋梁工程,
21384012,bowstring bridge,弓弦式橋,橋梁工程,
21384013,bowstring girder,弓弦型大梁,橋梁工程,
21384014,bowstring truss,弓弦式桁架,橋梁工程,
21384015,bowstring truss bridge,弓弦式桁架橋,橋梁工程,
21384016,box column,箱型柱；箱柱,橋梁工程,
21384017,box drain,箱型管溝；箱涵,橋梁工程,
21384018,box girder,箱型梁；箱梁,橋梁工程,
21384019,box strut,箱型支柱,橋梁工程,
21384020,braced,斜撐加強,橋梁工程,
21384021,braced arch,桁架拱,橋梁工程,
21384022,bracer,斜撐；支撐；拉條,橋梁工程,
21384023,brace-ribbed arch,加肋桁架拱,橋梁工程,
21384024,bracing frame,斜撐構架,橋梁工程,
21384025,bracket crane,壁裝起重絞車,橋梁工程,
21384026,brad awl,扁頭小鑽,橋梁工程,
21384027,bragger,托架；梁托,橋梁工程,
21384028,brake horsepower (BHP),制動馬力；剎車馬力,橋梁工程,
21384029,brake wheel,手軔輪；手煞車輪,橋梁工程,
21384030,brander,烙器；格框施工式基礎,橋梁工程,
21384031,brass,黃銅,橋梁工程,
21384032,braze,硬銲法 ; 銅銲法,橋梁工程,
21384033,break in grade,坡度轉折點；坡折,橋梁工程,
21384034,break joint,交錯接合；斷隅接合 ,橋梁工程,
21384035,breaking load,斷裂負載；斷裂荷重,橋梁工程,
21384036,breast plate,護胸板,橋梁工程,
21384037,breast wall,擋土牆；胸牆,橋梁工程,
21384038,breast-summer,橫楣；楣梁,橋梁工程,
21384039,brestsummer,橫楣；楣梁,橋梁工程,
21384040,brick masonry,磚石圬工,橋梁工程,
21384041,brick pier,磚造墩柱,橋梁工程,
21384042,bricklayer's hammer,磚工錘；磚工鎚,橋梁工程,
21384043,bridge,橋梁,橋梁工程,
21384044,bridge bearing ,橋梁支承,橋梁工程,
21384045,bridge decking,橋面鋪版；橋面鋪板,橋梁工程,
21384046,bridge expansion joint ,橋梁伸縮縫,橋梁工程,
21384047,bridge girder launcher,橋大梁推進裝置,橋梁工程,
21384048,bridge guard,橋防撞設施,橋梁工程,
21384049,bridge railing ,橋欄杆 ,橋梁工程,
21384050,bridge seat ,橋座,橋梁工程,
21384051,bridge stone,道口石；蓋石,橋梁工程,
21384052,bridge tape,橋梁量尺,橋梁工程,
21384053,bridge tie,橋橫向拉桿,橋梁工程,
21384054,bridge truss,橋梁桁架,橋梁工程,
21384055,bridgehead zone,橋頭區,橋梁工程,
21384056,bridge-seat,橋座,橋梁工程,
21384057,bridging equipment,組合式便橋裝備,橋梁工程,
21384058,bridging stone,道口石；蓋石,橋梁工程,
21384059,Briggs' logarithm,布氏對數；常用對數,橋梁工程,
