ID,英文名詞,中文名詞,詞類,更新日期
21384060,briquette clips,8字形試體夾,橋梁工程,
21384061,briquette mould,8字形試體模,橋梁工程,
21384062,Bristol board,布里斯托紙板；優質板紙,橋梁工程,
21384063,brittle,脆性 ,橋梁工程,
21384064,brittle-zone,脆性區,橋梁工程,
21384065,broach,擴孔鑽頭；拉削,橋梁工程,
21384066,broached dressing,鑿琢飾面,橋梁工程,
21384067,broad axe,大斧,橋梁工程,
21384068,Brohard expansion bolt,布羅德膨脹螺栓,橋梁工程,
21384069,broken ashlar,不等形琢石塊；不規則琢石；亂砌方石工程,橋梁工程,
21384070,broken axed dressing,不規則斧鑿飾面,橋梁工程,
21384071,broken coursed rubble,不規則成層琢石砌體,橋梁工程,
21384072,broken range rubble,不規則成層琢石砌體,橋梁工程,
21384073,broken ranged rubble,不規則成層琢石砌體,橋梁工程,
21384074,broken stone,碎石,橋梁工程,
21384075,broken stone concrete,碎石混凝土,橋梁工程,
21384076,broken top chord,不連續頂弦,橋梁工程,
21384077,broken-ashlar masonry,碎石底層不連續砌作,橋梁工程,
21384078,broken-range masonry,碎石底層不連續砌作,橋梁工程,
21384079,bronze,青銅,橋梁工程,
21384080,bronze steel,青銅鋼,橋梁工程,
21384081,brooming,劈裂；掃毛；樁頭蓬裂,橋梁工程,
21384082,brushes,電刷,橋梁工程,
21384083,bubble,氣泡,橋梁工程,
21384084,buck brace,橫撐架；交叉架,橋梁工程,
21384085,bucker-up,鉚釘工,橋梁工程,
21384086,bucket,水桶；吊桶；活塞；戽斗；鏟斗,橋梁工程,
21384087,bucket dredge,聯斗式挖泥船；戽斗挖泥船,橋梁工程,
21384088,bucket hole,吊桶運輸孔,橋梁工程,
21384089,bucket pump,斗泵；斗式提升機；斗式唧筒；鏈斗提水機；手搖帶閥活塞泵；提筒式泵,橋梁工程,
21384090,buckie (Scots),勞工休息區,橋梁工程,
21384091,bucking bar,鉚釘托桿,橋梁工程,
21384092,buckle,挫屈,橋梁工程,
21384093,buckle plate,碟形鋼板,橋梁工程,
21384094,buckle plate floor,碟形鋼板樓板,橋梁工程,
21384095,buckle-plate press,碟形鋼板壓製機,橋梁工程,
21384096,buckling stress,挫屈應力,橋梁工程,
21384097,build,構造；成形；構築；建造,橋梁工程,
21384098,builders hoist,施工用捲揚機,橋梁工程,
21384099,built beam,組合梁,橋梁工程,
21384100,built channel,組合槽鋼,橋梁工程,
21384101,built girder,組合大梁,橋梁工程,
21384102,built pile,組合樁,橋梁工程,
21384103,built-up member,組成構材；組合構件；組合桿件,橋梁工程,
21384104,bulging,隆起,橋梁工程,
21384105,bulk,容積；散裝,橋梁工程,
21384106,bull gang,非技術工；普通工,橋梁工程,
21384107,bull press,型鋼矯正壓力機；型鋼矯直壓力機,橋梁工程,
21384108,bull riveter,大型鉚機；重型鉚釘機,橋梁工程,
21384109,bull wheel,大齒輪；大輪,橋梁工程,
21384110,bull wheel pile driver,大轉盤打樁機,橋梁工程,
21384111,bull-dog,攪煉爐爐渣,橋梁工程,
21384112,bull-wheel derrick,大轉盤桅桿起重機；轉盤起重機,橋梁工程,
21384113,bunker,料倉；煤庫；儲槽,橋梁工程,
21384114,buoy,浮標；救生圈,橋梁工程,
21384115,buoyancy,浮力,橋梁工程,
21384116,buoyant effort,浮力,橋梁工程,
21384117,burnish,拋光；磨光,橋梁工程,
21384118,burnt steel,過燒鋼,橋梁工程,
21384119,Burr arch,柏式拱桁架,橋梁工程,
21384120,Burr arch truss,柏式拱桁架,橋梁工程,
21384121,Burr truss,柏式桁架,橋梁工程,
21384122,bush,襯套；套管；套筒；鑿飾,橋梁工程,
21384123,bush hammered dressing,鑿錘飾面,橋梁工程,
21384124,bushel,蒲式耳,橋梁工程,
21384125,bust hammer,鉚釘錘,橋梁工程,
21384126,buster,鉚釘鏟,橋梁工程,
21384127,butt,對接頭；錠,橋梁工程,
21384128,butt joint,對接；對接接頭；對接接合,橋梁工程,
21384129,butt riveting,對接鉚接；對頭鉚接,橋梁工程,
21384130,butt splice,對接接頭,橋梁工程,
21384131,butt strap,對接搭板,橋梁工程,
21384132,butt weld,對接銲接；對銲,橋梁工程,
21384133,butt-end,對接頭,橋梁工程,
21384134,button set,扁圓鉚釘組,橋梁工程,
21384135,button-head spike,扁圓頭船釘,橋梁工程,
21384136,buttress dam,扶壁式壩；支墩壩,橋梁工程,
21384137,buttressed wall,扶垛墻；前扶墻；外支墻,橋梁工程,
21384138,butty gang,分包工人,橋梁工程,
21384139,buzz saw,圓盤鋸,橋梁工程,
21384140,bypass,旁通管；旁路；繞道；繞流,橋梁工程,
21384141,by-pass,旁通管；旁路；繞道,橋梁工程,
21384142,by-product,副產品,橋梁工程,
21384143,by-wash,溢道；溢流水道,橋梁工程,
21384144,cable clamp,纜夾；電纜夾；鋼繩夾,橋梁工程,
21384145,cable clips,纜夾；電纜夾；鋼繩夾,橋梁工程,
21384146,cable hoist,纜索絞盤,橋梁工程,
21384147,cable splice,纜索續接；纜索接合,橋梁工程,
21384148,cable-stayed method ,斜張橋施工法,橋梁工程,
21384149,cable-way,架空索道；索道,橋梁工程,
21384150,caisson disease,潛水夫病,橋梁工程,
21384151,calculated horsepower,計算馬力,橋梁工程,
21384152,calculation paper,計算紙,橋梁工程,
21384153,caliber,管徑；管內徑；口徑,橋梁工程,
21384154,caliper,測徑規；卡鉗；卡尺,橋梁工程,
21384155,caliper compass,測徑兩腳規,橋梁工程,
21384156,caliper gauge,測徑規；卡尺,橋梁工程,
21384157,caliper rule,卡尺,橋梁工程,
21384158,caliper square,游標卡尺；游標尺,橋梁工程,
21384159,calked rivet,鏨緊鉚釘,橋梁工程,
21384160,calking mallet,捻縫木錘；填隙錘,橋梁工程,
21384161,calking metal,填隙金屬材料,橋梁工程,
21384162,calking nail,填隙釘,橋梁工程,
21384163,calking tool,捻縫工具,橋梁工程,
21384164,calking-butt,填隙接縫,橋梁工程,
21384165,calking-iron,填隙用鐵件；密縫鏨,橋梁工程,
21384166,Calyx core drill,Calyx 岩心鑽機,橋梁工程,
21384167,cam,凸輪；偏心輪,橋梁工程,
21384168,cam shaft,凸輪軸,橋梁工程,
21384169,camber block,預拱墊塊,橋梁工程,
21384170,camber jack,預拱千斤頂,橋梁工程,
21384171,cambering,預拱,橋梁工程,
21384172,cambering machine,預拱機器,橋梁工程,
21384173,camber-slip,砌拱墊塊,橋梁工程,
21384174,camel-back top chord,駝背上弦桿,橋梁工程,
21384175,camel-back truss,駝背式桁架,橋梁工程,
21384176,canal,運河；渠；圳,橋梁工程,
21384177,candle-power,燭光,橋梁工程,
21384178,candle-wick packing,燈芯形包裝,橋梁工程,
21384179,candle-wicking,燭芯,橋梁工程,
21384180,cant dog,鉤桿；木桿鉤；套環搬鉤,橋梁工程,
21384181,cant hook,鉤桿；木桿鉤；套環搬鉤,橋梁工程,
21384182,cantilever arch truss,拱形懸臂桁架；懸臂拱形桁架,橋梁工程,
21384183,cantilever bracket,懸臂托架,橋梁工程,
21384184,cantilever crane,懸臂式起重機,橋梁工程,
21384185,cantilever span,懸臂跨度,橋梁工程,
21384186,cantilever through truss,懸臂下承式桁架,橋梁工程,
21384187,cantilever truss,懸臂式桁架,橋梁工程,
21384188,cantilever-arm,懸伸臂,橋梁工程,
21384189,canvas hose,帆布軟管,橋梁工程,
21384190,cap piece,木造帽梁,橋梁工程,
21384191,cap plate,支柱頂板,橋梁工程,
21384192,cap screw,有頭螺釘；有頭螺絲,橋梁工程,
21384193,cap sill,樁頂蓋板,橋梁工程,
21384194,cape chisel,起槽鑿；扁尖鑿,橋梁工程,
21384195,capitalized total cost,總資本額,橋梁工程,
21384196,capitalized value,資本化價值；核定資本值,橋梁工程,
21384197,capstan,起錨機；絞盤,橋梁工程,
21384198,capstan bar,絞盤桿,橋梁工程,
21384199,capstan head,絞盤頭；絞盤架,橋梁工程,
21384200,capstone,拱頂石,橋梁工程,
21384201,car,台車,橋梁工程,
21384202,carborundum,金剛砂；碳化矽,橋梁工程,
21384203,carborundum brick,金剛砂磚,橋梁工程,
21384204,carpenter's level,木工水平尺,橋梁工程,
21384205,carpenter's line,木工墨線,橋梁工程,
21384206,carriage,台架；車箱；車架,橋梁工程,
21384207,carriageway,車道,橋梁工程,
21384208,case steel,表面硬化鋼；酪朊鋼,橋梁工程,
21384209,case-hardened steel,表面滲碳鋼；表面滲碳硬化鋼；表面硬化鋼；滲碳鋼,橋梁工程,
21384210,case-hardening,表面硬化；表面滲碳,橋梁工程,
21384211,cast,鑄造；鑄型,橋梁工程,
21384212,cast gears,鑄型齒輪,橋梁工程,
21384213,cast iron,鑄鐵,橋梁工程,
21384214,cast lead,鑄鉛,橋梁工程,
21384215,cast steel,鑄鋼,橋梁工程,
21384216,caster wheel,萬向輪；腳輪；自位輪,橋梁工程,
21384217,casting,鑄造,橋梁工程,
21384218,cast-in-situ method ,場鑄工法,橋梁工程,
21384219,cast-iron pipe,鑄鐵管,橋梁工程,
21384220,catch,擋器；掣子,橋梁工程,
21384221,catch basin,集水池；集水井；沉砂池 ,橋梁工程,
21384222,catch drain,排水溝；截水溝；集水溝,橋梁工程,
21384223,catch work,排水溝；截水溝；集水溝,橋梁工程,
21384224,catchpit,集流坑；集水井,橋梁工程,
21384225,catchwater,排水溝；截水溝；集水溝,橋梁工程,
21384226,categorical exclusions (CEs),無需環評,橋梁工程,
21384227,catenary curve,懸鏈線；懸鏈曲線,橋梁工程,
21384228,cattle guard,防畜格柵,橋梁工程,
21384229,causeway,堤道；棧橋,橋梁工程,
21384230,caustic lime,苛性石灰；生石灰 ,橋梁工程,
21384231,cedar block,雪松木塊,橋梁工程,
21384232,cement bin,水泥倉；水泥貯倉,橋梁工程,
21384233,cement brick,水泥磚；水泥塊,橋梁工程,
21384234,cement briquette,8字形水泥試塊,橋梁工程,
21384235,cement finish,水泥粉刷,橋梁工程,
21384236,cement floor,混凝土地坪；水泥地面；水泥樓板,橋梁工程,
21384237,cement mill,水泥廠,橋梁工程,
21384238,cement mould,水泥試體模,橋梁工程,
21384239,cement needle,水泥硬固檢驗針；水泥硬固檢驗計,橋梁工程,
21384240,cement pile,水泥樁,橋梁工程,
21384241,cement stone,水泥岩,橋梁工程,
21384242,cement testing machine,水泥試驗機,橋梁工程,
21384243,cemented steel,滲碳鋼；表面硬化鋼；燒結鋼,橋梁工程,
21384244,cementing furnace,滲碳爐,橋梁工程,
21384245,center,中心,橋梁工程,
21384246,center bearing,中心軸承{旋轉橋},橋梁工程,
21384247,center drill,中心孔鑽；中心鑽,橋梁工程,
21384248,center line,中心線；中線,橋梁工程,
21384249,center of buoyancy,浮力中心,橋梁工程,
21384250,center of displacement,浮力中心,橋梁工程,
21384251,center of gravity,重心,橋梁工程,
21384252,center of gyration,回轉中心；旋轉中心,橋梁工程,
21384253,center of inertia,慣性中心,橋梁工程,
21384254,center of magnitude,形心,橋梁工程,
21384255,center of mass,質量中心,橋梁工程,
21384256,center of moment,力矩中心,橋梁工程,
21384257,center of motion,運動中心；旋轉中心,橋梁工程,
21384258,center of percussion,打擊中心；撞恍心；撞擊中心,橋梁工程,
21384259,center of perspectivity,透視中心,橋梁工程,
21384260,center of pressure,壓力中心,橋梁工程,
21384261,center of resistance,反力中心,橋梁工程,
21384262,center of rotation,旋轉中心,橋梁工程,
21384263,center of stress,應力中心,橋梁工程,
21384264,center of symmetry,對稱中心,橋梁工程,
21384265,center pin,中心銷,橋梁工程,
21384266,center post,中間柱,橋梁工程,
21384267,center punch,沖點；沖坑；沖心鏨；沖眼；中心坑,橋梁工程,
21384268,center valve,中樞閥,橋梁工程,
21384269,center-bearing turntable,中心支承轉盤,橋梁工程,
21384270,centering casting,定心鑄件,橋梁工程,
21384271,centrer bearing draw,旋轉橋跨,橋梁工程,
21384272,centrifugal load,離心載重；離心負載,橋梁工程,
21384273,centrifugal stress,離心應力,橋梁工程,
21384274,centripetal force,向心力,橋梁工程,
21384275,centripetal stress,向心應力,橋梁工程,
21384276,certificate of approval (COA),核准證書；核准證明,橋梁工程,
21384277,chain bearer,鏈尺測距員,橋梁工程,
21384278,chain block,鏈吊車；鏈式起重機 ,橋梁工程,
21384279,chain bond,鐵鍊加勁砌法,橋梁工程,
21384280,chain bridge,鐵鏈吊橋；懸鏈橋,橋梁工程,
21384281,chain cable,錨鏈；鏈索,橋梁工程,
21384282,chain coupling,鏈接；鏈形聯接器,橋梁工程,
21384283,chain dog,鏈鉤,橋梁工程,
21384284,chain drive,鏈驅動；鏈條傳動 ,橋梁工程,
21384285,chain gear,傳動鏈；鏈傳動機構；鏈傳動裝置,橋梁工程,
21384286,chain hoist,鏈式起重機,橋梁工程,
21384287,chain hook,鏈鉤 ,橋梁工程,
21384288,chain pulley,鏈輪,橋梁工程,
21384289,chain pump,鏈泵 ,橋梁工程,
21384290,chain riveting,鏈式鉚接；並列鉚接,橋梁工程,
21384291,chain tape,測鏈；測量鏈；測深鏈；鏈尺,橋梁工程,
21384292,chain wheel,鏈輪,橋梁工程,
21384293,chainman,鏈尺測距員；測手,橋梁工程,
21384294,chainsmith,鏈匠,橋梁工程,
21384295,chair casting,軌座,橋梁工程,
21384296,chamber,箱室；腔；室,橋梁工程,
21384297,chamfered groove,角槽,橋梁工程,
21384298,chamfered joint,截角接合；斜接；斜削接頭,橋梁工程,
21384299,channel,河槽；渠；槽鋼；導槽,橋梁工程,
21384300,channel armoring ,石砌護岸,橋梁工程,
21384301,channel column,雙槽鋼柱,橋梁工程,
21384302,channel iron,槽鋼,橋梁工程,
21384303,channel span,航道跨度,橋梁工程,
21384304,channel strut,槽鋼組合支柱,橋梁工程,
21384305,channeling,構築渠道；採石開槽；渠道系統,橋梁工程,
21384306,channeling machine,採石開槽機,橋梁工程,
21384307,charcoal iron,木炭爐鐵,橋梁工程,
21384308,charcoal steel,木炭爐鋼,橋梁工程,
21384309,charred pile,焦頭樁,橋梁工程,
21384310,chats,煉礦廠廢礦石,橋梁工程,
21384311,check nut,防鬆螺帽,橋梁工程,
21384312,check washer,防鬆墊片；防鬆墊圈,橋梁工程,
21384313,checkered plate,花紋[鋼]板,橋梁工程,
21384314,Chenoweth pile,切諾韋思樁,橋梁工程,
21384315,Chicago boom,芝加哥起重臂,橋梁工程,
21384316,Childs truss,柴爾茲桁架,橋梁工程,
21384317,chilled casting,冷硬鑄件,橋梁工程,
21384318,chilled iron,冷淬鐵；冷[硬]鑄鐵 ,橋梁工程,
21384319,Chinese anchor,蛇籠；石籠,橋梁工程,
21384320,Chinese capstan,雙徑滾筒絞車,橋梁工程,
21384321,Chinese windlass,差動絞筒；轆轤；差動絞盤,橋梁工程,
21384322,chipping,鏨；鎚鑿；碎料,橋梁工程,
21384323,chisel,鑿子,橋梁工程,
21384324,chisel bar,橇桿,橋梁工程,
21384325,chisel draft,石頭邊鑿飾工具,橋梁工程,
21384326,chiseled dressing,石面鑿飾,橋梁工程,
21384327,chock,塞子，楔子；墊木,橋梁工程,
21384328,chock block,擋塊；楔塊；止動楔,橋梁工程,
21384329,chock-a-block,滑車相靠；滿艙,橋梁工程,
21384330,chord,弦桿,橋梁工程,
21384331,chord boring machine,弦材鑽孔機,橋梁工程,
21384332,chord head,弦桿擴頭,橋梁工程,
21384333,chord packing,弦桿配置,橋梁工程,
21384334,chord pin,弦桿梢釘,橋梁工程,
21384335,chord pitch,弦線齒距,橋梁工程,
21384336,chord splice,弦桿續接,橋梁工程,
21384337,chord stress,弦桿應力,橋梁工程,
21384338,chord stringer,弦梁,橋梁工程,
21384339,chromated copper arsenate (CCA),鉻砷酸銅,橋梁工程,
21384340,chuck,夾頭,橋梁工程,
21384341,churn drill,頓鑽；衝擊鑽,橋梁工程,
21384342,cincture,環帶；邊輪,橋梁工程,
21384343,cinder,爐渣；煤渣；火山渣,橋梁工程,
21384344,cinder concrete,煤渣混凝土,橋梁工程,
21384345,cinder pig,夾渣生鐵；爐渣生鐵,橋梁工程,
21384346,cinder pocket,沉渣室,橋梁工程,
21384347,cinematics,動學；運動學,橋梁工程,
21384348,circle,刻度盤；圓,橋梁工程,
21384349,circuit,電路,橋梁工程,
21384350,circuit breaker,斷路器,橋梁工程,
21384351,circular arch,圓拱 ,橋梁工程,
21384352,circular file,圓銼刀 ,橋梁工程,
21384353,circular girder,環形梁,橋梁工程,
21384354,circular pitch,圓周齒節；圓周齒距,橋梁工程,
21384355,circular saw,圓鋸,橋梁工程,
21384356,clack valve,止回閥；單向閥；瓣閥,橋梁工程,
21384357,clam shell bucket,蛤殼式抓斗,橋梁工程,
21384358,clamp drill,夾鑽,橋梁工程,
21384359,clamp iron,夾鉗,橋梁工程,
21384360,clamp screw,制動螺旋；夾緊螺釘,橋梁工程,
21384361,clam-shell bucket,蛤殼式抓斗,橋梁工程,
21384362,clam-shell dredge,蛤殼式挖泥船,橋梁工程,
21384363,clap-board,護檐板；護牆板,橋梁工程,
21384364,clapper bridge,石板橋,橋梁工程,
21384365,clapper valve,瓣閥；止回閥,橋梁工程,
21384366,claw,拔釘器；爪；鉗,橋梁工程,
21384367,claw bar,撬桿,橋梁工程,
21384368,claw coupling,牙嵌式離合器；爪形聯接器；爪形聯結器,橋梁工程,
21384369,claw hammer,羊角榔頭；拔釘錘,橋梁工程,
21384370,claw wrench,鉤形扳手；爪型板鉗,橋梁工程,
21384371,clawback,浮橋木梁,橋梁工程,
21384372,clay daub,黏土抹縫,橋梁工程,
21384373,clay puddle,夯實黏土,橋梁工程,
21384374,clear headway,淨高；淨空,橋梁工程,
21384375,clear roadway,路面凈寬,橋梁工程,
21384376,clear span,淨跨；淨跨度,橋梁工程,
21384377,clear span length,淨跨[距]；淨跨長,橋梁工程,
21384378,clear waterway,水路；航路,橋梁工程,
21384379,clearance diagram,凈空圖；限界圖,橋梁工程,
21384380,Cleveland hammer,克里夫蘭槌,橋梁工程,
21384381,clevis,U形夾,橋梁工程,
21384382,clevis pin,U形夾[插]銷,橋梁工程,
21384383,click,棘輪；棘輪機構；棘齒；棘爪,橋梁工程,
21384384,clinch,夾鉗,橋梁工程,
21384385,clinch bolt,夾緊螺栓；鉚釘,橋梁工程,
21384386,Clinton wire cloth,克林頓鋼絲布,橋梁工程,
21384387,clip angle,扣角鋼,橋梁工程,
21384388,clip pulley,夾式滑輪,橋梁工程,
21384389,clipping hammer,剪切槌,橋梁工程,
21384390,closed column,匣形柱,橋梁工程,
21384391,closed spandrel arch,實腹拱,橋梁工程,
21384392,closed spandrel deck arch bridge,實腹拱橋,橋梁工程,
21384393,close-quartered reamer,閉合區鉸刀,橋梁工程,
21384394,closing line,閉合線；封閉線,橋梁工程,
21384395,closing pile,封椿；結尾板樁,橋梁工程,
21384396,club dolly,頂鉚具,橋梁工程,
21384397,club-footed pile,護底椿；擴底樁,橋梁工程,
21384398,cluster bent,群椿排架,橋梁工程,
21384399,clutch,離合器,橋梁工程,
21384400,clutch coupling,離合聯結器,橋梁工程,
21384401,coarse sand,粗砂；粗沙,橋梁工程,
21384402,cock,旋塞；栓塞；[活]栓,橋梁工程,
21384403,cocked-hat,墩體擴座,橋梁工程,
21384404,coefficient,係數,橋梁工程,
21384405,coefficient of contraction,收縮係數,橋梁工程,
21384406,coefficient of elasticity,彈性係數,橋梁工程,
21384407,coefficient of impact,衝擊係數,橋梁工程,
21384408,coefficient of linear expansion,線膨脹係數；線性膨脹係數,橋梁工程,
21384409,coefficient of resilience,回彈係數,橋梁工程,
21384410,coefficient of restitution,恢復係數 ,橋梁工程,
21384411,coefficient of torsion,扭轉係數,橋梁工程,
21384412,coffer,下沉板{天花},橋梁工程,
21384413,cofferdam ,圍堰,橋梁工程,
21384414,cog,輪齒,橋梁工程,
21384415,cog wheel,鑲齒輪；齒輪,橋梁工程,
21384416,coil chain,套環鏈,橋梁工程,
21384417,coil friction clutch,鼓式摩擦離合器,橋梁工程,
21384418,cold chisel,冷鏨,橋梁工程,
21384419,cold cutter,冷切工具,橋梁工程,
21384420,cold planing ,鋪面刨除,橋梁工程,
21384421,cold pressing,冷壓,橋梁工程,
21384422,cold rolling,冷軋,橋梁工程,
21384423,cold saw,冷鋸；冷圓鋸,橋梁工程,
21384424,cold shut,冷疤；冷隔；冷接；冷界；流界,橋梁工程,
21384425,cold-cut,冷切,橋梁工程,
21384426,cold-hammering,冷錘,橋梁工程,
21384427,cold-pressed paper,冷壓紙,橋梁工程,
21384428,cold-rolled shafting,冷軋傳動軸,橋梁工程,
21384429,cold-short iron,冷脆鐵,橋梁工程,
21384430,cold-short steel,冷脆鋼,橋梁工程,
21384431,cold-straightening,冷法拉直；冷矯直；冷校正；冷直,橋梁工程,
21384432,collapsing bucket,可摺疊桶,橋梁工程,
21384433,collar,項圈；箍；軸環,橋梁工程,
21384434,collar beam,繫梁,橋梁工程,
21384435,collision post,防撞柱,橋梁工程,
21384436,collision strut,防撞柱,橋梁工程,
21384437,colluvial deposition,崩積土層；崩積物；塌積沉積；塌積物,橋梁工程,
21384438,column bent,柱構架,橋梁工程,
21384439,column crane,柱式起重機,橋梁工程,
21384440,columnar fracture,柱狀斷口；柱狀裂縫,橋梁工程,
21384441,columnar pile,柱樁；端承樁,橋梁工程,
21384442,columnar stroked dressing,槽紋修琢,橋梁工程,
21384443,column-foot,柱底,橋梁工程,
21384444,combination bridge,複合橋,橋梁工程,
21384445,combination dolly,雙頭頂鉚具,橋梁工程,
21384446,combination punch and shears,組合沖孔剪切機,橋梁工程,
21384447,combination wrench,多用扳手；複合扳手；兩用扳手；令梗,橋梁工程,
21384448,combined bridge,鐵路公路兩用橋,橋梁工程,
21384449,combined stress,混合應力,橋梁工程,
21384450,commercial horsepower,商用馬力,橋梁工程,
21384451,common iron,普通鐵,橋梁工程,
21384452,common joists,樓板小梁,橋梁工程,
21384453,common lime,普通石灰；氣梗石灰；氣硬石灰,橋梁工程,
21384454,common logarithm,常用對數,橋梁工程,
21384455,common reamer,槽式絞刀；開槽絞刀,橋梁工程,
21384456,common theory of flexure,常用撓曲理論,橋梁工程,
21384457,compass brick,斜削磚；楔形磚,橋梁工程,
21384458,compensator,補償器；補償劑；張力調節器,橋梁工程,
21384459,compound girder,組合大梁,橋梁工程,
21384460,compound locomotive,複合機車,橋梁工程,
21384461,compound pulley,複合滑輪,橋梁工程,
21384462,compound stress,複合應力；混合應力；組合應力,橋梁工程,
21384463,compound web plate,複合腹板,橋梁工程,
21384464,compressed-air chamber,壓縮空氣室,橋梁工程,
21384465,compression joint,壓力接合,橋梁工程,
21384466,compressive strain,壓應變,橋梁工程,
21384467,compressor,空壓機,橋梁工程,
21384468,computations,計算；估算,橋梁工程,
21384469,computer,電腦,橋梁工程,
21384470,concave brick,凹形磚,橋梁工程,
21384471,concave curvature,凹曲率,橋梁工程,
21384472,concentrated load stress,集中載重應力,橋梁工程,
21384473,conchoidal fracture,貝殼狀斷口,橋梁工程,
21384474,concrete batch mixer,混凝土批次拌合機,橋梁工程,
21384475,concrete beam,混凝土梁,橋梁工程,
21384476,concrete box girder,混凝土箱形梁,橋梁工程,
21384477,concrete continuous mixer,連續式混凝土拌合機,橋梁工程,
21384478,concrete floor,混凝土樓板,橋梁工程,
21384479,concrete girder,混凝土大梁,橋梁工程,
21384480,concrete masonry,混凝土砌作,橋梁工程,
21384481,concrete pan-formed girder,鋼模成形混凝土大梁,橋梁工程,
21384482,concrete pier,混凝土橋墩,橋梁工程,
21384483,concreting,灌注混凝土；混凝土澆築,橋梁工程,
21384484,condition based bridge maintenance ,橋梁狀態預防性維護,橋梁工程,
21384485,cone clutch,錐形離合器,橋梁工程,
21384486,cone pulley,圓錐輪；錐形滑輪,橋梁工程,
21384487,conical gear,錐形齒輪,橋梁工程,
21384488,conical pulley,錐形滑輪,橋梁工程,
21384489,conical roller,錐形輥；錐形滾軸；錐形滾子,橋梁工程,
21384490,conical wheel,[圓]錐形車輪,橋梁工程,
21384491,conjugate stresses,共軛應力,橋梁工程,
21384492,connecting angle,結合角鋼；連接角材；連接角鋼,橋梁工程,
21384493,connecting bar,連接桿,橋梁工程,
21384494,connecting chord-heads,弦桿連接頭,橋梁工程,
21384495,connecting plate,連接板,橋梁工程,
21384496,connecting rod,連桿,橋梁工程,
21384497,conservation of energy,能量不滅；能量守恒,橋梁工程,
21384498,construction bolt,施工臨時螺栓,橋梁工程,
21384499,construction contractor,承包商；施工承包商,橋梁工程,
21384500,construction load ,施工載重,橋梁工程,
