ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1502007,Secretary-general,秘書長,,行政,13-14,,2012-11-26
1502008,Deputy Secretary-general,副秘書長,,行政,12-13,,2012-11-26
1502009,Executive Secretary,主任秘書,,行政,11-12,,2012-11-26
1502010,Executive Secretary,執行秘書,,行政,10-11,,2012-11-26
1502011,Deputy Executive Secretary,副執行秘書,,行政,10,,2012-11-26
1502012,1.Senior Specialist (具專業技術)2.Senior Executive Officer (一般行政) 3.Assistant Director-general (屬輔佐主管性質) ,專門委員,,行政,10-11,,2012-11-26
1502013,Executive Officer,參議,,行政,9-11,,2012-11-26
1502014,1.Senior Inspector (簡任); 2.Inspector (薦任) ,督學,,行政,8-12,,2012-11-26
1502015,1.Senior Secretary (簡任); 2.Secretary (薦任),秘書,,行政,8-10,,2012-11-26
1502016,1.Senior Consumer Protection Officer(簡任); 2.Consumer Protection Officer (薦任),消費者保護官,,行政,8-9,原英譯為「Consumer Ombudsman Officer」，惟因行政院消保會譯為「 Consumer Protection Officer」，且Ombudsman為北歐國家（如瑞典）之監察使，其權限為憲法所特許，為符合專業用語，經97.4.23雙語詞彙翻譯審查小組修正英譯為「 Consumer Protection Officer」。,2012-11-26
1502017,1.Secretary; 2.Chief,秘書監行政組長,,行政 ,8,本職或兼職之英譯。,2012-11-26
1502018,1.Executive Officer 2.Specialist,專員,,行政,7-9,,2012-11-26
1502019,Executive Officer,視導,,行政,7-8,,2012-11-26
1502020,Revenue  Assessor,審核員,,行政,7-8,,2012-11-26
1502021,Supervision Officer,社工督導,,行政,7,同社會工作督導員,2012-11-26
1502022,Counselor,輔導員,,行政,5-8,,2012-11-26
1502023,Officer,組員,,行政,5-7,,2012-11-26
1502024,Junior Officer,管理員,,行政,5-7,,2012-11-26
1502025,Officer,課員,,行政,5-7,,2012-11-26
1502026,Junior Officer,戶籍員,,行政,4-6,,2012-11-26
1502027,Junior Officer,佐理員,,行政,4-6,,2012-11-26
1502028,Junior Officer,助理員,,行政,4-6,,2012-11-26
1502029,Officer,里幹事,,行政,4-6,,2012-11-26
1502030,Junior Officer,屠宰管理員,,行政,4-6,,2012-11-26
1502031,Junior Officer,就業助理員,,行政,4-6,,2012-11-26
1502032,Clerk,助理幹事,,行政,3-5,,2012-11-26
1502033,Clerk,辦事員,,行政,3-5,,2012-11-26
1502034,Associate Clerk,書記,,行政,1-3,,2012-11-26
1502035,Secretary,機要秘書,,行政,,,2012-11-26
1502036,Executive Officer,機要專員,,行政,,,2012-11-26
1502037,Member of Committee,勞資爭議調解委員,,行政,,,2012-11-26
1502038,調用職稱之英譯,調用人員,,行政,,,2012-11-26
1502039,Meeting Recorder,紀錄,,行政,,,2012-11-26
1502040,Assistant,業務助理,,行政,,,2012-11-26
1502041,本職或兼職之英譯。,兼主任,,行政,兼職,,2012-11-26
1502042,本職或兼職之英譯。,兼副主任,,行政,兼職,,2012-11-26
1502043,本職或兼職之英譯。,兼執行秘書,,行政,兼職,,2012-11-26
1502044,Advisor,顧問,,行政,不列等,,2012-11-26
1502045,Legal Consultant ,法律顧問,,行政,不列等,,2012-11-26
1502046,Assistant Clerk,雇員,,行政,不列等,,2012-11-26
1502047,Contract Employee,約聘人員,,行政,不列等,,2012-11-26
1502048,Contract Employee,約用人員,,行政,不列等,,2012-11-26
1502049,Planner,約聘企劃師,,行政,不列等,,2012-11-26
1502050,Community Planning Assistant,約聘社區規劃師助理,,行政,不列等,,2012-11-26
1502051,Clerk,聘用事務員,,行政,不列等,,2012-11-26
1502052,Ticketing Assistant,售票員,,行政,不列等,,2012-11-26
1502053,Lifeguard ,救生員,,行政,不列等,,2012-11-26
1502054,Contract Employee,約雇,,行政,不列等,,2012-11-26
1502055,Contract Employee,約僱人員,,行政,不列等,,2012-11-26
1502056,Assistant,約僱助理,,行政,不列等,,2012-11-26
1502057,Technician,約僱技術員,,行政,不列等,,2012-11-26
1502058,Clerk,約僱事務員,,行政,不列等,,2012-11-26
1502059,1.Clerk; 2.Docent(導覽解說工作),約僱服務員,,行政,不列等,,2012-11-26
1502060,Assistant,約僱保管員,,行政,不列等,,2012-11-26
1502061,Ticketing Assistant,約僱售票員,,行政,不列等,,2012-11-26
1502062,Lifeguard ,約僱救生員,,行政,不列等,,2012-11-26
1502063,Clerk,約僱幹事,,行政,不列等,,2012-11-26
1502064,Assistant,約僱管理員,,行政,不列等,,2012-11-26
1502065,Nursing Assistant,約僱護理員,,行政,不列等,,2012-11-26
1502066,Ticket Taker,約僱驗票員,,行政,不列等,,2012-11-26
1502067,Clerk,約僱河川管理員,,行政,不列等,,2012-11-26
1502068,Patrolman,約僱河川巡防員,,行政,不列等,,2012-11-26
1502069,1.Maintenance Worker; 2.Messenger (送公文); 3.Janitor (清潔工),工友,,行政,不列等,,2012-11-26
1502070,Temporary Worker,專業臨時人員,,行政,不列等,,2012-11-26
1502071,Temporary Worker,臨時人員,,行政,不列等,,2012-11-26
1502072,1.Freelance Worker (文書類); 2.Piece Worker (生產類) ,臨時造單員,,行政,不列等,,2012-11-26
1502073,Associate Clerk,臨編書記,,行政,不列等,,2012-11-26
1502074,Work-study Student,工讀生,,行政,不列等,,2012-11-26
1502075,Temporary Worker,以工代賑,,行政,不列等,,2012-11-26
1502076,Volunteer,志工,,行政,不列等,,2012-11-26
1502077,1.Freelance Worker (文書類); 2.Piece Worker (生產類) ,按件計酬員,,行政,不列等,,2012-11-26
1502078,Piece Worker,單工,,行政,不列等,,2012-11-26
1502079,Director,導播,,行政,6-7,,2012-11-26
1502080,Instructor,指導員,,行政,5-7,,2012-11-26
1502081,Officer,幹事,,行政,5-7,,2012-11-26
1502082,Reporter,採訪員,,行政,4-6,,2012-11-26
1502083,1.Programmer; 2.Program Host ,節目員,,行政,4-6,,2012-11-26
1502084,Announcer,播音員,,行政,4-6,,2012-11-26
1502085,Military Training Instructor,教官,,行政,,,2012-11-26
1502086,Teacher,教師,,行政,,,2012-11-26
1502087,Art Designer,約聘美工,,行政,不列等,,2012-11-26
1502088,Editor / Writer / Translator,約聘編譯,,行政,不列等,,2012-11-26
1502089,Photographer,約聘攝影,,行政,不列等,,2012-11-26
1502090,Supervision Officer,社會工作督導員,,行政,7,,2012-11-26
1502091,Childcare Assistant,保育員,,行政,3-5,,2012-11-26
1502092,Social Worker,約聘社會工作員,,行政,不列等,,2012-11-26
1502093,Inspector,稽查員,,行政,5-7,,2012-11-26
1502094,Inspector,稽查,,行政,4-5,,2012-11-26
1502095,Preliminary Reviewer,初審,,行政,,,2012-11-26
1502096,Secondary Reviewer,複審,,行政,,,2012-11-26
1502097,Industrial Safety Inspector,勞工安全衛生檢查員,,行政,,,2012-11-26
1502098,Foreign Worker Inspector ,外籍勞工業務檢查員,,行政,,,2012-11-26
1502099,Personnel Officer,人事管理員,,行政,5-7,,2012-11-26
1502100,Junior Personnel Officer,人事助理員,,行政,4-6,,2012-11-26
1502101,Accounting Officer,會計管理員,,行政,5-7,,2012-11-26
1502102,Accounting Officer,會計員,,行政,5-7,,2012-11-26
1502103,Junior Officer,調府佐理員,,行政,4-6,,2012-11-26
1502104,Investigator,特約統計調查員,,行政,不列等,,2012-11-26
1502105,簡任：1.Senior Technical Specialist 2.Senior Specialist (負責行政業務) 薦任：1.Technical Specialist 2.Specialist (負責行政業務),技正,,技術,7-11,,2012-11-26
1502106,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技士,,技術,5-7,,2012-11-26
1502107,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技士兼股長,,技術,5-7,本職或兼職之英譯。,2012-11-26
1502108,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技士兼會計員,,技術,5-7,本職或兼職之英譯。,2012-11-26
1502109,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任) ,技術員,,技術,5-7,,2012-11-26
1502110,Associate Technical Specialist,職代技士,,技術,5,本職或兼職之英譯。,2012-11-26
1502111,1.Associate Technical Specialist (薦任) ; 2.Junior Technical Specialist (委任),技佐,,技術,4-6,,2012-11-26
1502112,Clerk,站務員,,技術,4-5,,2012-11-26
1502113,Technician,聘用技術員,,技術,不列等,,2012-11-26
1502114,Inspector,檢查人員,,技術,不列等,,2012-11-26
1502115,1.Technician; 2.Technical Worker,技工,,技術,不列等,,2012-11-26
1502116,1.Chauffeur(首長座車) ; 2.Driver(公務車),司機員,,技術,不列等,,2012-11-26
1502117,1.Chauffeur(首長座車) 2.Driver(公務車),駕駛,,技術,不列等,,2012-11-26
1502118,Technician,技術人員,,技術,不列等,,2012-11-26
1502119,Technician,技術助理員,,技術,不列等,,2012-11-26
1502120,Surveying Assistant,測量助理,,技術,不列等,,2012-11-26
1502121,Stationed Agent,派駐人員,,技術,不列等,,2012-11-26
1502122,Stationed Agent,委辦公司人員,,技術,不列等,,2012-11-26
1502123,Maintenance Worker,技助,,技術,不列等,,2012-11-26
1502124,Maintenance Worker,站工,,技術,不列等,,2012-11-26
1502125,Maintenance Worker,粗工,,技術,不列等,,2012-11-26
1502126,Surveying Worker,測工,,技術,不列等,,2012-11-26
1502127,1.Maintenance Worker; 2.Messenger (送公文); 3.Janitor (清潔工),雇工,,技術,不列等,,2012-11-26
1502128,1.Maintenance Worker; 2.Messenger (送公文); 3.Janitor (清潔工),洗車工,,技術,不列等,,2012-11-26
1502129,Temporary Worker,臨時單工,,技術,不列等,,2012-11-26
1502130,Temporary Worker,臨時僱工,,技術,不列等,,2012-11-26
1502131,Chief Engineer,總工程師,,工程,10,,2012-11-26
1502132,Assistant Engineer,幫工程司,,工程,5-7,,2012-11-26
1502133,1.Assistant Engineer (薦任); 2.Junior Engineer (委任),工務員,,工程,4-5,,2012-11-26
1502134,Engineering Assistant,助理工程員,,工程,3-5,,2012-11-26
1502135,Systems Coordinator,電子作業管理師,,資訊,7,,2012-11-26
1502136,Systems Coordinator ,管理師,,資訊,5-7,,2012-11-26
1502137,Systems Coordinator,聘用資料管理師,,資訊,不列等,,2012-11-26
1502138,Systems Coordinator,聘用管理師,,資訊,不列等,,2012-11-26
1502139,1.Specialist; 2.Systems Coordinator,約聘管理師,,資訊,不列等,,2012-11-26
1502140,Physician,醫師,,醫事,7-9,,2012-11-26
1502141,Pharmacist,藥師,,醫事,5-8,,2012-11-26
1502142,Professional Nurse,護理師,,醫事,師(三)級5-7,,2012-11-26
1502143,Veterinarian ,獸醫師,,醫事,5-7,,2012-11-26
1502144,Medical Technician,檢驗員,,醫事,5-7,,2012-11-26
1502145,Medical Technologist,檢驗師,,醫事,5-7,,2012-11-26
1502146,Medical Technologist,醫檢師,,醫事,5-7,,2012-11-26
1502147,Dietitian,營養師,,醫事,5-7,,2012-11-26
1502148,Associate Counselor,心理輔導員,,醫事,5-7,,2012-11-26
1502149,Radiologist,放射科醫師；放射線科醫師,,醫事,5-7,,2019-06-14
1502150,Physical Therapist,物理治療師,,醫事,5-7,,2012-11-26
1502151,Senior Social Worker ,社會工作師,,醫事,5-7,,2012-11-26
1502152,Public Health Instructor,衛生教育指導員,,醫事,5-7,,2012-11-26
1502153,Public Health Inspector,衛生稽查員,,醫事,5-7,,2012-11-26
1502154,Nursing Supervision Officer,護理督導員,,醫事,5-7,,2012-11-26
1502155,Nutritionist ,營養員,,醫事,5,,2012-11-26
1502156,Public Health Nurse,公共衛生護士,,醫事,4-6,,2012-11-26
1502157,Social Worker,社會服務員,,醫事,4-6,,2012-11-26
1502158,Nurse,護士,,醫事,3-5,,2012-11-26
1502159,Researcher,約聘研究員,,研究,不列等,,2012-11-26
1502160,Researcher,研究員,,研究,7-9,,2012-11-26
1502161,Associate Researcher,副研究員,,研究,7-8,,2012-11-26
1502162,Assistant Researcher,助理研究員,,研究,,,2012-11-26
1502163,Social Worker,社會工作員,,法務,5-7,,2012-11-26
1502164,Senior Regional Inspector ,駐區督察,,警務,警正一階至警監四階,,2012-11-26
1502165,Chief Inspector ,督察長,,警務,警正三階至警正一階,,2012-11-26
1502166,Senior Inspector,督察,,警務,警正一階,,2012-11-26
1502167,Junior Inspector,督察員,,警務,警正四階至二階,,2012-11-26
1502168,Captain,警備隊長,,警務,警正四階至三階,,2012-11-26
1502169,Executive Officer,局員,,警務,警正三階至警正二階,,2012-11-26
1502170,Second-lieutenant ,巡官,,警務,警佐一階至警正三階,,2012-11-26
1502171,Officer,科員,,警務,警佐一階至警正三階,,2012-11-26
1502172,Investigator,調查員,,警務,警佐一階至警正三階,,2012-11-26
1502173,Detective,偵查員（一）,,警務,警佐一階至警正三階,,2012-11-26
1502174,Associate Detective,偵查員（二）,,警務,警佐三階至一階或警正四階,,2012-11-26
1502175,Major,警正組員,,警務,警佐一階至警正三階,,2012-11-26
1502176,Police Officer,警員,,警務,警佐三至一階或警正四階,,2012-11-26
1502177,Sergeant,巡佐,,警務,警佐二階至警正四階,,2012-11-26
1502178,Sergeant,警務佐,,警務,警佐二階至警正四階,,2012-11-26
1502179,1.Security Guard; 2.Officer,隊員,,警務,警佐,,2012-11-26
1502180,Accounts Inspector,帳務檢查員,,警務,7-8,,2012-11-26
1502181,Social Worker,社工員,,警務,5-7,,2012-11-26
1502182,Surveyor,測量員,,警務,5-7,,2012-11-26
1502183,Surveyor,約僱測量員,,警務,不列等,,2012-11-26
1502184,Substitute Civilian Serviceman,替代役男,,警務,不列等,,2012-11-26
1502185,Security Guard,河川駐警,,警務,不列等,,2012-11-26
1502186,Security Guard,駐衛警察,,警務,,,2012-11-26
1502187,Security Guard,駐衛警,,警務,,,2012-11-26
1502188,Alarm Operator,警報員,,警務,,,2012-11-26
1502189,Communications Technician,通訊員,,交通事業,,,2012-11-26
1502190,1.Senior Inspector (簡任); 2.Inspector (薦任) ,督導,,金融保險,7-10,,2012-11-26
1502191,1.Senior Auditor (簡任); 2.Auditor (薦任) ,稽核,,金融保險,7-10,,2012-11-26
1502192,Revenue Officer,稅務員,,金融保險,5-7,,2012-11-26
1502193,Junior Auditor,檢核員,,金融保險,5-7,,2012-11-26
1502194,Assistant Revenue Officer ,助理稅務員,,金融保險,3-5,,2012-11-26
1502195,Chairperson,主席,,議政,,,2012-11-26
1502196,Vice Chairperson,副主席,,議政,,,2012-11-26
1502197,Administrative Assistant,教學助理,,,,,2012-11-26
1502198,1.Senior Inspector (簡任) 2. Inspector (薦任)  ,督學,,,,,2012-11-26
1502199,Senior Inspector (簡任) Inspector (薦任)  ,督學,,,,,2012-11-26
1502200,Senior Inspector (簡任) Inspector (薦任)  ,督學,,,,,2012-11-26
1502201,Senior Vice President and Training Institute General Manager,專門委員兼所長,,,,,2012-11-26
1502202,Senior Inspector (簡任) ;Inspector (薦任)  ,督學,,,,,2012-11-26
1502203,Senior Inspector (簡任) Inspector (薦任)  ,督學,,,,,2012-11-26
1502204,Retired Staff Member,退休人員,,,,,2012-11-26
1502205,Councilman,議員,,,,1.使用時應註明為City/County Council 2.若為女性議員，可修正為Councilwoman,2012-11-26
1502206,Township Councilman,鄉民代表,,,,若為女性代表，可修正為Councilwoman,2012-11-26
1502207,Town Councilman,鎮民代表,,,,若為女性代表，可修正為Councilwoman,2012-11-26
1502208,Borough  Councilman,市民代表,,,,若為女性代表，可修正為Councilwoman,2012-11-26
1502209,District Advisor,區政務諮詢委員,,,,未來鄉、鎮、市改制為區者，改制日前一日仍在職之鄉、鎮、市民代表，除依法停止職權者外，由直轄市長聘任為區政諮詢委員，職權包括區政業務之諮詢事項、興革建議事項等。,2012-11-26
