ID,英文名稱,中文名稱,圖片,提供單位,更新日期
1869435,Department of Overall Planning,綜合規劃司,,秘書室（企劃科）,2013-08-06
1869436,Planning Section,綜合企劃科,,秘書室（企劃科）,2013-07-09
1869437,Research and Development Section,研究發展科,,秘書室（企劃科）,2013-07-09
1869438,Regulation and Evaluation Section,管制考核科,,秘書室（企劃科）,2013-07-09
1869439,Media & Congressional Liaison Section,新聞及國會聯絡科,,秘書室（企劃科）,2013-07-09
1869440,Campus Health & Hygiene Section,學校衛生科,,秘書室（企劃科）,2013-08-06
1869441,Indigenous and Minority Peoples’ Education Section,原住民族及少數族群教育科,,秘書室（企劃科）,2013-07-09
1869442,12-year Basic Education,十二年國民基本教育,,中教司,2013-07-09
1869443,New Pension Scheme(for Private Schools),新儲金制,,私校退撫儲金監理會,2013-08-06
1869444,Retirement & Compensation Fund(for Private Schools),退撫儲金、基金,,私校退撫儲金監理會,2013-08-06
1869445,Supervisory Committee,監理會,,私校退撫儲金監理會,2013-07-09
1869446,Incomes and Expenditures,收支,,私校退撫儲金監理會,2013-07-09
1869447,management,運用,,私校退撫儲金監理會,2013-07-09
1869448,safe-keeping,保管,,私校退撫儲金監理會,2013-07-09
1869449,annual budget,年度預算,,私校退撫儲金監理會,2013-07-09
1869450,final accounts,決算,,私校退撫儲金監理會,2013-07-09
1869451,fiduciary organization,信託金融機構,,私校退撫儲金監理會,2013-07-09
1869452,student recruitment in progress,招生中,,統計處,2013-07-09
1869453,student recruitment suspended,暫停招生,,統計處,2013-07-09
1869454,student recruitment approved but not yet begun,核定但尚未招生,,統計處,2013-07-09
1869455,(preschool) main campus,（幼兒園）本園,,統計處,2013-07-09
1869456,(preschool) branch campus,（幼兒園）分班,,統計處,2013-08-06
1869457,(preschool) teachers and caregivers,教保人員,,統計處,2013-07-09
1869458,preschool,幼兒園,,統計處,2013-07-09
1869459,Ministry of Education Organization Act,教育部組織法,,統計處,2013-08-06
1869460,Arts Education Act,藝術教育法,,統計處,2013-07-09
1869461,general high school,普通高級中學,,統計處,2013-07-09
1869462,comprehensive high school,綜合高級中學,,統計處,2013-07-09
1869463,specialized high school,單類科高級中學,,統計處,2013-07-09
1869464,experimental high school,實驗高級中學,,統計處,2013-07-09
1869465,supplementary & continuing education,補習及進修教育,,統計處,2013-07-09
1869466,supplementary & continuing education academy,補習及進修學校,,統計處,2013-07-09
1869467,supplementary education,國民補習教育,,統計處,2013-07-09
1869468,continuing education,進修教育,,統計處,2013-07-09
1869469,short-term supplementary education,短期補習教育,,統計處,2013-07-09
1869470,exam-free admission,免試入學,,統計處,2013-07-09
1869471,lottery-based admission,申請抽籤入學,,統計處,2013-07-09
1869472,application-based admission,登記分發入學,,統計處,2013-07-09
1869473,special achievement-based admission,技優入學,,統計處,2013-07-09
1869474,recommendation and screening-based admission,甄選入學,,統計處,2013-07-09
1869475,special achievement and screening-based admission,技優保甄,,統計處,2013-07-09
1869476,overseas Chinese students,僑生,,僑教會,2013-07-09
1869477,overseas Taiwan schools,海外臺灣學校,,僑教會,2013-07-09
1869478,character education,品德教育,,訓委會,2013-07-09
1869479,human rights education,人權教育,,訓委會,2013-07-09
1869480,right to education,受教權、就學權、教育權(國家人權報告用語),,訓委會,2013-07-09
1869481,ban on corporal punishment,禁止體罰(國家人權報告用語),,訓委會,2013-07-09
1869482,gender equality education,性別平等教育(性別平等教育用語),,訓委會,2013-07-09
1869483,"sexual harassment, assault and abuse",性侵害、性騷擾、性霸凌(性別平等教育用語),,訓委會,2013-07-09
1869484,life education,生命教育(生命教育用語),,訓委會,2013-07-09
1869485,technological and vocational education,技職教育,,技職司,2013-07-09
1869486,university of science and technology,科技大學,,技職司,2013-07-09
1869487,technical college,技術學院,,技職司,2013-07-09
1869488,junior college,專科學校,,技職司,2013-07-09
1869489,day school,日間部,,技職司,2013-07-09
1869490,night school,夜間部,,技職司,2013-07-09
1869491,division of continuing education,進修部,,技職司,2013-07-09
1869492,junior college of continuing education,專科進修學校,,技職司,2013-07-09
1869493,college of continuing education,進修學院,,技職司,2013-07-09
1869494,in-service master’s program,碩士在職專班,,技職司,2013-07-09
1869495,doctor (人)/doctorate (學位),博士,,技職司,2013-08-06
1869496,master’s (學位),碩士,,技職司,2013-08-06
1869497,four-year technical program,四技,,技職司,2013-07-09
1869498,two-year technical program,二技,,技職司,2013-07-09
1869499,five-year junior college program,五專,,技職司,2013-07-09
1869500,two-year junior college program,二專,,技職司,2013-07-09
1869501,comprehensive evaluation/accreditation,綜合評鑑,,技職司,2013-07-09
1869502,ad hoc evaluation/accreditation,專案評鑑,,技職司,2013-07-09
1869503,self-evaluation,自我評鑑,,技職司,2013-07-09
1869504,maritime education,海事教育,,技職司,2013-07-09
1869505,joint degree program,雙聯學制,,技職司,2013-07-09
1869506,overseas program,境外專班,,技職司,2013-07-09
1869507,special program for international students,外國學生專班,,技職司,2013-07-09
1869508,international cooperation,國際合作,,技職司,2013-07-09
1869509,industry-academia cooperation/collaboration,產學合作,,技職司,2013-07-09
1869510,exemplary university of science and technology,典範科技大學,,技職司,2013-07-09
1869511,outstanding technical and vocational education award,技職之光,,技職司,2013-07-09
1869512,International competition of arts and technical skills,國際級技藝能競賽,,技職司,2013-07-09
1869513,industry-academia cooperation/collaboration project,產學攜手合作計畫,,技職司,2013-07-09
1869514,secretariat,秘書處,,總務司,2013-07-09
1869515,Military education instructor,軍訓教官,,軍訓處,2013-08-06
1869516,teacher of nursing,護理教師,,軍訓處,2013-07-09
1869517,campus security office,校安中心,,軍訓處,2013-07-09
1869518,“Echinacea” anti-drug campaign,紫錐花運動,,軍訓處,2013-07-09
1869519,national defense education,全民國防教育,,軍訓處,2013-07-09
1869520,Chun-Hui (Youth-Support) Project,春暉專案,,軍訓處,2013-07-09
1869521,Alternative Enlistee Service for Education,教育服務役,,軍訓處,2013-07-09
1869522,"Personnel Office, K-12 Education Administration",教育部國民及學前教育署人事室,,Object,2013-07-09
1869523,Director (簡任); Chief Personnel Officer (薦任),人事室主任,,中辦(人事科),2013-08-06
1869524,Senior Executive Officer,人事室專門委員,,Object,2013-07-09
1869525,Section Chief,人事室科長,,Object,2013-07-09
1869526,Inspector,人事室視察,,Object,2013-07-09
1869527,簡任：1.Senior Specialist (具專業技術); 2.Senior Executive Officer (一般行政)。薦任：1.Specialist (具專業技術); 2.Executive Officer (一般行政),人事室專員,,中辦(人事科),2013-08-06
1869528,Officer,人事室科員,,Object,2013-07-09
1869529,Junior Officer,人事室助理員,,Object,2013-07-09
1869530,high school quality enhancement,高中職優質精進,,Object,2013-07-09
1869531,senior citizens learning camp,樂齡大學,,社教司,2013-07-09
1869532,senior citizens learning center,樂齡學習中心,,社教司,2013-07-09
1869533,supplementary education services industry,短期補習班業,,社教司,2013-07-09
1869534,after-school child care services industry,兒童課後照顧服務業,,社教司,2013-07-09
1869535,Regulations for the Establishment and Supervision ofAfter-school Child Care Services,兒童課後照顧服務班與中心設立及管理辦法,,社教司,2013-07-09
1869536,community learning center,社區大學,,社教司,2013-07-09
