ID,英文名詞,中文名詞,德文,法類/法條,審定日期,更新日期
21396010,Ability to earn a living wage,謀生能力,Erwerbsfähigkeit,職災保險法第44條第1項,113/9/27通過,
21396011,Accessibility / Availability,可及性,Zugängigkeit,社會福利基本法第28條,4/12通過,
21396012,Accident,意外事故,Unfall,職災保險法第55條第1項,113/10/18通過,
21396013,Accident insurance rate on the way to or from work,上、下班災害費率,Gefahrklasse für Verkehrsunfall auf dem Weg zur Arbeit,職災保險法第16條第2項,113/8/30通過114/09/12修正,
21396014,Activities of daily living,日常生活活動,Aktivitäten des alltäglichen Lebens,職災保險法第80條第2款,114/1/16通過,
21396015,Adequate standard of living,適足生活,Anegmenener Lebensstandard,社會福利基本法第3條,112/12/1通過,
21396016,Apprentice,技術生,Lehrling,職災保險法第6條第3項,113/6/7通過,
21396017,Assistive device subsidy,輔助器具補助,Hilfsmittelzuschuss,職災保險法第79條,114/1/16通過,
21396018,Assistive devices,輔助器具,Hilfsmittel,職災保險法第79條,114/1/16通過,
21396019,Autonomy,自主性,Autonomie,社會福利基本法第4條,112/12/1通過，114/07/16修正,
21396020,Average monthly regular earnings by occupation,各職類每人月平均經常性薪資,Monatliches Durchschnittsgehalt in verschiedenen Branchen,社會救助法第5條之1第1項第1款第2目,4/25通過,
21396021,Average monthly regular earnings for entry-level employees by occupation,各業初任人員每月平均經常性薪資,Monatliches Durchschnittsgehalt für Berufseinsteiger in verschiedenen Branchen,社會救助法第5條之1第1項第1款第3目,4/25通過,
21396022,Average salary,平均工資,Durchschnittsgehalt,職災保險法第90條第3項,114/2/21通過,
21396023,Barrier-free,無障礙環境,Barrierefreiheit,社會福利基本法第28條,4/12通過,
21396024,Beneficiary,受益人,Begünstigter:in,職災保險法第5條第1項,113/6/7通過,
21396025,Care subsidy,照護補助,Pflegezuschuss,職災保險法第80條,114/1/16通過,
21396026,Case management,個案管理,Fallmanagement,職災保險法第65條第1項,113/12/13通過,
21396027,Cash benefits,現金給付,Geldleistungen,社會福利基本法第7條,1/26通過,
21396028,Causation of occupational disease,職業病因果關係,Kausalität der Berufskrankheit,職災保險法第73條第3項,113/12/13通過,
21396029,Childcare subsidy,托兒補助, Kinderbetreuungszuschuss,社會救助法第16條第1項第2款,6/6通過,
21396030,Community development,社區發展,Gemeinschaftsentwicklung,社會福利基本法第26條,4/12通過,
21396031,Condition of being insured,投保條件,Voraussetzungen für Bürgerkankenversicherungspflicht,全民健康保險法第15條第6項,114.9.12通過,
21396032,contingency reserve,安全準備,Sicherheitsreserve,全民健康保險法第2條第5款,114.8.13通過,
21396033,Contract,特約,Vertrag,社會福利基本法第14條,2/23通過,
21396034,contributor,保險付費者,Beitragszahler,全民健康保險法第5條第4項,114.8.13通過,
21396035,Cooperative education program,建教合作計畫,Ausbildungsprogramm des dualen Systems ,社會救助法第5條之1第1項第1款第2目,4/25通過,
21396036,co-payment,應自行負擔費用,Zuzahlung,全民健康保險法第2條第4款,114.8.13通過,
21396037,Corporate trainee,養成工,Auszubildender:in,職災保險法第6條第3項,113/6/7通過,
21396038,covered benefits,保險給付支出,Ausgaben der Bürgerkrankenversicherung,全民健康保險法第2條第4款,114.8.13通過,
21396039,Death benefit,死亡津貼,Geldleistung wegen Todeses,職災保險法第78條第1項,113/12/13通過，114/06/06修正,
21396040,Death benefits,死亡給付,Leistungen wegen Todes,職災保險法第26條第4款職災保險法第49條各項,113/8/30通過，114/06/06修正德譯,
21396041,Death subsidy,死亡補助,Zuschuss wegen Todes,職災保險法第81條第1項,114/1/16通過，114/06/06修正,
21396042,Decent housing,宜居之住宅,Angemessene Wohnung,社會福利基本法第11條,1/26通過,
21396043,Delay penalty,滯納金,Säumniszuschlag ,職災保險法第21條第1項,113/8/30通過,
21396044,dependent,眷屬,wirtschaftlich abhängiger Familienmitglied,全民健康保險法第2條第2款,114.8.13通過,
21396045,Dependent benefit,眷屬補助,Familienzuschlag,職災保險法第44條第1項,113/9/27通過113/10/18修正,
21396046,Disability,身心障礙,Behinderung,職災保險法第83條,114/1/16通過,
21396047,Disability benefit,失能津貼,Geldleistung wegen Erwerbsfähigkeitsminderung,職災保險法第78條第1項,113/12/13通過，114/06/06修正,
21396048,Disability benefits,失能給付,Leistungen wegen Erwerbsminderung ,職災保險法第26條第3款職災保險法第43條第1項,113/8/30通過,
21396049,Disability certificate,身心障礙證明,Behindertenausweis,社會救助法第12條,4/25通過,
21396050,Disability lump sum benefit,失能一次金,Einmalige Geldleistung wegen Erwerbsfähigkeitsminderung,職災保險法第45條第2項,113/9/27通過,
21396051,Disability pension,失能年金,Erwerbsminderungsrente,職災保險法第43條第2項,113/9/27通過,
21396052,Disability subsidy,失能補助,Zuschuss wegen Erwerbsfähigkeitsminderung ,職災保險法第81條第1項,114/1/16通過,
21396053,Disaster,災害,Katastrophe,社會救助法第1條,3/28通過,
21396054,Disaster aid,災害救助,Hilfe bei Katastrophe,社會救助法第2條,3/28通過,
21396055,Disparity among individuals,個別差異,Individuelle Unterschiede,社會福利基本法第28條,4/12通過,
21396056,Earned income,工作收入,Erwerbseinkommen,社會救助法第5條之1第1項第1款,3/28通過,
21396057,Economic or social disadvantage,經濟或社會不利處境,Wirtschaftlich oder sozial schwierige Bedingungen,社會福利基本法第11條,1/26通過,
21396058,Economic security,經濟安全,Wirtschaftliche Sicherheit,社會福利基本法第5條,112/12/1通過，114/07/16修正,
21396059,Economically or socially vulnerable individuals,經濟或社會弱勢者,Wirtschaftlich oder sozial Benachteiligte,社會救助法第16條之1第1項第1款,6/6通過,
21396060,Education subsidy ,教育補助,Bildungszuschuss,社會救助法第16條第1項第3款,6/6通過,
21396061,Emergency,急難,Notlage / Notfall,社會救助法第1條,3/28通過,
21396062,Emergency relief,急難救助,Soforthilfe bei Notlage,社會救助法第2條,3/28通過,
21396063,Employee,受僱勞工,Beschäftigter:in,職災保險法第6條第1項第1款,113/6/7通過,
21396064,Employer,雇主,Arbeitgeber:in,職災保險法第6條第1項,113/6/7通過,
21396065,Employment insurance,就業保險,Arbeitslosenversicherung,職災保險法第13條,113/8/30通過,
21396066,Employment permit,聘僱許可,Beschäftigungsbewilligung ,職災保險法第6條第1項,113/6/7通過,
21396067,Employment relationship,勞雇關係,Arbeitsverhältnis,社會福利基本法第10條,1/26通過,
21396068,Employment services,就業服務,Leistungen zur Arbeitsförderung,社會福利基本法第10條,1/26通過,
21396069,Equality and social justice,社會公平正義,Soziale Gerechtigkeit,社會福利基本法第3條,112/12/1通過,
21396070,Farmers health insurance,農民健康保險,Krankenversicherung für Landwirte,職災保險法第29條第2項,113/8/30通過,
21396071,Farmers occupational accident insurance,農民職業災害保險,Arbeitsunfallversicherung für Landwirte,職災保險法第29條第2項,113/8/30通過,
21396072,Fisherpersons' association,漁會,Fischereiverband e.V.,職災保險法第7條第2款,113/6/7通過,
21396073,Follow-up medical examination,健康追蹤檢查,Medizinische Nachuntersuchung,職災保險法第63條第2項,113/10/18通過,
21396074,Functional capacity evaluation,功能性能力評估,Funktionalle Fähigkeitsbewertung,職災保險法第66條第1項,113/12/13通過，114/07/16修正,
21396075,Funeral  benefit,喪葬津貼,Geldleistung für Bestattung ,職災保險法第49條第1項,113/9/27通過，114/06/06修正，114/09/12修正,
21396076,Funeral subsidy,喪葬補助,Zuschuss für Bestattungskosten ,社會救助法第16條第1項第4款,6/6通過,
21396077,Grace period,寬限期間,Verlängerte Frist,職災保險法第21條第1項,113/8/30通過,
21396078,Hazardous work,有害作業,Gefährliche Tätigkeit,職災保險法第63條第1項,113/10/18通過,
21396079,Head of household,家戶戶長,Vertreter des Haushalts / Vertreter der Familie,全民健康保險法第10條第1項第6款第2目,114.9.12通過,
21396080,Health and medical care system,衛生醫療照護體系,Öffentliches Gesundheitswesen und System der medizinischen Versorgung,社會福利基本法第9條,1/26通過,
21396081,Health care,醫療保健,Gesundheitsversorgung,社會福利基本法第2條,112/12/1通過,
21396082,Health care quality,健康照護品質,Qualität der gesundheitlichen Pflege ,社會福利基本法第9條,1/26通過,
21396083,Health gap,健康差距,Gesundheitliche Ungleichheit,社會福利基本法第9條,1/26通過,
21396084,Home care services,居家服務,Häusliche Pflege,社會救助法第16條第1項第5款,6/6通過,
21396085,Homeless person,遊民,Obdachloser,社會救助法第17條第1項,114/6/6通過，114/07/16修正,
21396086,Household assets / Family assets,家庭財產,Haushaltsvermögen / Familienvermögen,社會救助法第4條第1項,3/28通過,
21396087,Housing  allowance / Rent allowance,房租補助或津貼,Wohngeld,社會福利基本法第11條,2/23通過,
21396088,Housing subsidy ,住宅補貼,Wohngeld,社會救助法第16條之1第1項,6/6通過,
21396089,Inability to work,不能工作,Arbeitsunfähigkeit,職災保險法第42條第1項,113/9/27通過,
21396090,Incentive,獎勵,Subvention,社會福利基本法第14條,2/23通過,
21396091,Independence,自立,Selbständigkeit ,社會救助法第1條,3/28通過,
21396092,Independently practicing professionals and technicians,專門職業及技術人員自行執業者,Selbständig tätige Fachleute und Techniker,全民健康保險法第10條第1項第1款第5目,114.9.12通過,
21396093,injury,傷害,Verletzung,全民健康保險法第1條第2項,114.8.13通過,
21396094,Injury or sickness benefits,傷病給付,Verletztengeld,職災保險法第26條第2款職災保險法第42條第1項,113/8/30通過，114/07/16修正,
21396095,In-kind benefit / Benefit in kind,實物給付,Sachleistung/ Naturalleistung,社會福利基本法第13條,2/23通過,
21396096,Insurance benefits,保險給付,Leistungen der Sozialversicherung,社會福利基本法第5條,112/12/1通過，114/07/16修正,
21396097,Insurance eligibility,加保資格,Versicherungsberechtigung,職災保險法第10條第3項,113/8/30通過，114/07/16修正,
21396098,insurance financing,保險經費,Finanzierung der Bürgerkrankenversicherung,全民健康保險法第2條第5款,114.8.13通過,
21396099,Insurance fund,保險基金,Versicherungsfonds,職災保險法第59條,113/10/18通過,
21396100,insurance medical service provider,保險醫事服務提供者,Leistungserbringer der Bürgerkrankenversicherung,全民健康保險法第5條第4項,114.8.13通過,
21396101,Insurance premium,保險費,Versicherungsbeiträge,職災保險法第14條,113/8/2通過,
21396102,Insurance rate,保險費率,Versicherungssatz/Beitragssatz,職災保險法第10條第3項,113/8/2通過，114/07/16修正,
21396103,Insurance unit,投保單位,Antragstelle für Sozialversicherung,職災保險法第5條第1項,113/6/7通過,
21396104,Insurance validity,保險效力,Rechtliche Wirkung der Versicherung,職災保險法第14條,113/8/2通過，114/07/16修正,
21396105,Insurance years,保險年資,Beitragszeiten,職災保險法第43條第3項,113/9/27通過,
21396106,Insure,投保,Beginn des Versicherungsverhältnisses,職災保險法第12條,113/8/2通過,
21396107,Insured amount,投保金額,beitragspflichtiges Einkommen,全民健康保險法第18條第1項,114.9.12通過,
21396108,Insured event/Insured peril,保險事故,Versicherungsunfall,社會福利基本法第5條,112/12/1通過，113/08/30修正,
21396109,Insured person,被保險人,Versicherte Person,職災保險法第5條第1項,113/6/7通過,
21396110,Insured salary grades chart,投保薪資分級表,Tabelle der Beitragsbemessungsgrundlage,職災保險法第17條第1項,113/8/30通過,
21396111,Insurer,保險人,Versicherungsträger,職災保險法第3條,113/5/24通過,
21396112,Intern,見習生,Praktikant:in,職災保險法第6條第3項,113/6/7通過,
21396113,Job accommodation,職務再設計,Arbeitsanpassung,職災保險法第64條第1項第4款,113/12/13通過,
21396114,Job analysis,工作分析,Arbeitsanalyse,職災保險法第66條第1項,113/12/13通過,
21396115,Labor association,勞工團體,Gruppe der Erwerbstätigter,職災保險法第15條第2項,113/8/2通過,
21396116,Labor insurance,勞工保險,Arbeitsversicherung,職災保險法第29條第2項,113/8/30通過,
21396117,Labor Insurance Dispute Review Committee,勞工保險爭議審議會,Beschwerdeausschuss der Arbeitsversicherung,職災保險法第5條第2項,113/6/7通過,
21396118,Labor management,勞資協調合作,Koordinierung zwischen Aebeitnehmern und Arbeitgebern,社會福利基本法第10條,1/26通過,
21396119,Labor occupational accident insurance,勞工職業災害保險,Arbeitsunfallversicherung,職災保險法第3條,113/5/24通過,
21396120,Labor Occupational Accident Insurance and Protection Act,勞工職業災害保險及保護法,Gesetz für Arbeitsunfallversicherung und Arbeitsschutz,,113/5/24通過,
21396121,Labor occupational accident insurance fund,勞工職業災害保險基金,Fonds der Arbeitsunfallversicherung,職災保險法第3條,113/5/24通過,
21396122,Labor without fixed-term employment,無一定雇主勞工,Arbeitnehmer:in ohne bestimmte Arbeitgeber,職災保險法第7條第1款,113/6/7通過,
21396123,Level of permanent disability,失能程度,Grad der Erwerbsfähigkeitsminderung ,職災保險法第43條第1項,113/9/27通過,
21396124,Levels of public assistance,扶助等級,Niveau von Sozialhilfeleistungen,社會救助法第14條,4/25通過,
21396125,Life course,生命歷程,Lebensverlauf,社會福利基本法第9條,1/26通過,
21396126,Living allowance for vocational training,職業訓練生活津貼,Berufsausbildungsbeihilfe,社會救助法第5條之1第1項第1款第2目,4/25通過,
21396127,Living allowance for vocational training in cooperative education,職業技能訓練生活津貼,Berufsausbildungsbeihilfe für Auszubildene / Ausbildungsvergütung,社會救助法第5條之1第1項第1款第2目,4/25通過,
21396128,Living support,生活扶助,Hilfe zum Lebensunterhalt,社會救助法第2條,3/28通過,
21396129,Low income household,低收入戶,Sozialhilfebedürftige,社會福利基本法第6條,112/12/1通過，114/07/16修正,
21396130,Madate,委託,Auftrag,社會福利基本法第14條,2/23通過,
21396131,Mandatory insurance,強制納保,Zwangsversicherung,社會福利基本法第5條,112/12/1通過,
21396132,Maternal and infants nutrition subsidy ,產婦及嬰兒營養補助, Ernährungszuschuss für Mutter und Säuglinge,社會救助法第16條第1項第1款,6/6通過,
21396133,Maternity subsidy ,生育補助,Geburtsbeihilfe,社會救助法第16條第1項第6款,6/6通過,
21396134,maternity/childbirth,生育,Schwangerschaft und Geburt,全民健康保險法第1條第2項,114.8.13通過,
21396135,Median disposable income,可支配所得中位數,Median des verfügbaren Einkommens,社會救助法第4條第2項,3/28通過,
21396136,Medical benefits,醫療給付,Medizinische Leistungen,職災保險法第26條第1款職災保險法第38條第1項,113/8/30通過,
21396137,Medical care,醫療照顧,Medizinische Versorgung,社會福利基本法第5條,112/12/1通過,
21396138,Medical rehabilitation,醫療復健,Medizinische Rehabilitation,職災保險法第64條第1項第1款,113/10/18通過,
21396139,Medical subsidy,醫療補助,Medizinischer Zuschuss,職災保險法第78條第1項,113/12/13通過,
21396140,medical visit advice,就醫輔導,medizinische Beratung,全民健康保險法第2條第6款,114.8.13通過,
21396141,Medicial subsidy,醫療補助,Finanzielle Hilfe zur medizinischen Versorgung,社會救助法第2條,3/28通過,
21396142,Merit rating,實績費率,Performancebezogene Gefahrklasse,職災保險法第16條第4項,113/8/30通過,
21396143,Military personnel insurance,軍人保險,Gesetzliche Versicherung für Berufssoldaten,職災保險法第29條第2項,113/9/27通過,
21396144,Military servicemen's survivor,軍人遺族,Hinterbliebene von Militärangehörigen,全民健康保險法第10條第1項第4款第1目,114.9.12通過,
21396145,Minimum standard of living,最低生活費,Notwendiger Lebensunterhalt,社會救助法第4條第1項,3/28通過,
21396146,Minimum wage,基本工資,Mindestlohn,職災保險法第17條第5項,113/8/30通過,
21396147,Missing benefit,失蹤給付,Leistung wegen Verschollen,職災保險法第26條第5款職災保險法第55條第1項,113/8/30通過,
21396148,Moderate income household,中低收入戶,Familien mit bescheidenem Einkommen,社會福利基本法第6條,112/12/1通過，114/06/06更新,
